,技能名稱,預設,主手裝備,副手裝備,身體裝備,效果編號,效果類別名稱,屬性名稱,屬性值,屬性追加,消耗MP,射程,類型,連擊,動作時間,詠唱/蓄力時間
,,,,,,-,tips,text,![迅速]效果會覆蓋所有會影響動作時間的加成。,,,,,,,
2,,非預設,雙劍,,,,,,,,,,,,,
2,,非預設,雙手劍,,,1,,multiplier,250+5*SLv,,,,,,,
,,,,,,2,,caption,,,,,,,,
3,爆氣斬,預設,單手劍,,,-,text,text,施放成功後，進入!B[爆氣]狀態，強化接下來的11次一般攻擊。無法與其他改變普攻動作類的技能並存。,,500,,瞬發,可以放入連擊,快,
,,,,,,,,is_mark,1,,,,,,,
,,,,,,-,effect,name,爆氣,,,,,,,
,,,,,,,,caption,前10次一般攻擊變為!B[強化攻擊]；第11次一般攻擊變為發動!B[二連閃擊]及!B[劍光一閃]，並結束狀態。,,,,,,,
,,,,,,,,end_condition,下11次一般攻擊,,,,,,,
,,,,,,,,duration,600,,,,,,,
,,,,,,,,action_frame,61~37,,,,,,,
,,,,,,2,extra,attack_mp_recovery,2.5*SLv,,,,,,,
,,,,,,-,extra,caption,DEF、MDEF、迴避值強制固定為0。,,,,,,,
,,,,,,-,list,text,受到任意異常狀態時，會使![爆氣]立刻結束。若處於!S[狂戰士之怒]狀態，可免疫此效果。,,,,,,,
,,,,,,-,list,text,攻擊被miss或閃躲時，技能剩餘次數則不會減少。,,,,,,,
,,,,,,1,effect,name,強化攻擊,,,,,,,
,,,,,,,,normal_attack_constant,10*SLv,,,,,,,
,,,,,,,,normal_attack_multiplier,10+9*SLv,,,,,,,
,,,,,,,,condition,狀態期間,,,,,,,
,,,,,,5,extra,caption,改變攻擊動作，單次傷害被分成4次斬擊。,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,-,proration,damage,physical,,,,,,,
,,,,,,3,damage,name,二連閃擊,,,,,,,
,,,,,,,,title,each,,,,,,,
,,,,,,,,judgment,separate,,,,,,,
,,,,,,,,constant,300+20*SLv,,,,,,,
,,,,,,,,multiplier,50+5*SLv,,,,,,,
,,,,,,,,frequency,2 ,,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,,,combo_rate,0,,,,,,,
,,,,,,,,action_frame,~30,,,,,,,
,,,,,,4,damage,name,劍光一閃,,,,,,,
,,,,,,,,constant,300+20*SLv,,,,,,,
,,,,,,,,multiplier,250+5*SLv,,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,,,combo_rate,0,,,,,,,
,,,,,,,,action_frame,~65,,,,,,,
,,,,,,-,list,text,第11段攻擊視作一次技能攻擊，被分成![二連閃擊]及![劍光一閃]共三次傷害，這三次傷害皆為#[必定命中]。,,,,,,,
,,,,,,-,tips,text,![二連閃擊]及![劍光一閃]共用一次慣性判定、會受「下個技能受益」類的效果加成，也會令持續時間到下個技能的狀態消失。,,,,,,,
,,,,,,-,list,text,![劍光一閃]不受行動速度影響、也不受!S[大師級劍術]加成。,,,,,,,
,,,,,,-,list,text,連擊效果不會影響此技能的傷害。,,,,,,,
,,,,,,-,list,text,效果持續期間，此技能無法再次使用。,,,,,,,
,,,,,,-,list,text,雙劍使用時，只加成主手ATK計算的部分。,,,,,,,
3,,非預設,雙手劍,,,1,,normal_attack_multiplier,10+4*SLv,,,,,,,
,,,,,,3,,multiplier,150+5*SLv,,,,,,,
,,,,,,4,,multiplier,550+5*SLv,,,,,,,
3,,非預設,雙劍,,,2,,attack_mp_recovery,1.25*SLv,,,,,,,
,,,,,,5,extra,caption,改變攻擊動作，單次傷害被分成4次斬擊。(雙劍僅普攻的第一擊受影響被分為4次，故總段數為6~7次),,,,,,,
4,流星墜擊,預設,單手劍,,,-,text,text,發動全身力量躍向空中，對目標發動!B[流星一擊]，墜地時產生!B[星流爆破]造成範圍傷害。,,600,main,瞬發,可以放入連擊,一般,
,,,,,,,,is_mark,1,,,,,,,
,,,,,,-,proration,damage,physical,,,,,,,
,,,,,,1,damage,name,流星一擊,,,,,,,
,,,,,,,,constant,400+20*SLv,,,,,,,
,,,,,,,,multiplier,400+20*SLv,,,,,,,
,,,,,,,,ailment_name,眩暈,,,,,,,
,,,,,,,,ailment_chance,75+2.5*SLv,,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,,,action_frame,122~66,,,,,,,
,,,,,,2,damage,name,星流爆破,,,,,,,
,,,,,,,,multiplier,100+50*SLv+$BDEX*0.5,,,,,,,
,,,,,,,,type,AOE,,,,,,,
,,,,,,,,end_position,target,,,,,,,
,,,,,,,,radius,2+Math.floor((SLv-1)/3)*0.5,,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,-,extra,caption,自身處於#[無敵]狀態。,,,,,,,
,,,,,,,,condition,滯空期間,,,,,,,
,,,,,,-,tips,text,!B[星流爆破]的中心位置為技能發動時目標的位置，因此會因目標移動導致無傷害。,,,,,,,
4,,非預設,雙手劍,,,1,,multiplier,600+20*SLv+$BSTR*0.1,,,,,,,
,,,,,,,,ailment_chance,2.5*SLv,,,,,,,
,,,,,,2,,multiplier,100+50*SLv,,,,,,,
4,,非預設,雙劍,,,2,,multiplier,100+50*SLv,,,,,,,
4,,歷史紀錄,0,2020/07/16,,2,,multiplier,100+50*SLv,,,,,,,
4,,歷史紀錄,1,2020/07/16,,1,,multiplier,600+20*SLv,,,,,,,
4,,歷史紀錄,2,2020/07/16,,2,,multiplier,100+50*SLv,,,,,,,
5,音速斬切,預設,單手劍,,,-,proration,damage,physical,,200,12+4*Math.floor((SLv-1)/3),瞬發,可以放入連擊,稍快,
,,,,,,-,text,text,衝刺到目標跟前，並對路徑上的所有敵人給予傷害，施展後會獲得!B[蓄勢待發]。,,,,,,,
,,,,,,,,is_mark,1,,,,,,,
,,,,,,1,damage,constant,100+5*SLv,,,,,,,
,,,,,,,,multiplier,100+5*SLv,,,,,,,
,,,,,,,,type,AOE,,,,,,,
,,,,,,,,effective_area,line,,,,,,,
,,,,,,,,radius,1,,,,,,,
,,,,,,,,end_position,self,,,,,,,
,,,,,,,,end_position_offsets,-1,,,,,,,
,,,,,,,,name,音速斬切,,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,,,action_frame,66~45,,,,,,,
,,,,,,2,extra,critical_rate,10*SLv,,,,,,,
,,,,,,-,effect,name,蓄勢待發,,,,,,,
,,,,,,,,condition,none,,,,,,,
,,,,,,,,caption,若再次使用此技能，此技能將強化為!B[超音速斬切]。,,,,,,,
,,,,,,,,duration,5,,,,,,,
,,,,,,,,duration.registlet,RLv,,,,,,,
,,,,,,3,damage,name,超音速斬切,,,,,,,
,,,,,,,,constant,100+5*SLv,,,,,,,
,,,,,,,,multiplier,200+10*SLv,,,,,,,
,,,,,,,,type,AOE,,,,,,,
,,,,,,,,effective_area,line,,,,,,,
,,,,,,,,radius,2,,,,,,,
,,,,,,,,end_position,self,,,,,,,
,,,,,,,,end_position_offsets,1,,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,,,action_frame,66~45,,,,,,,
,,,,,,4,extra,critical_rate,10*SLv,,,,,,,
,,,,,,-,list,text,施放!B[超音速斬切]一樣會獲得!B[蓄勢待發]的效果。,,,,,,,
5,,非預設,雙劍,,,,,,,,,,,,,
5,,非預設,雙手劍,,,1,,multiplier,150+5*SLv,,,8+4*Math.floor((SLv-1)/3),,,,
,,,,,,,,radius,3,,,,,,,
,,,,,,2,,critical_rate,SLv,,,,,,,
,,,,,,3,,multiplier,300+10*SLv,,,,,,,
,,,,,,,,radius,4,,,,,,,
,,,,,,4,,critical_rate,SLv,,,,,,,
6,真空刃,預設,單手劍,,,-,proration,damage,physical,,300,main,瞬發,可以放入連擊,稍快,
,,,,,,1,damage,constant,30,,,,,,,
,,,,,,,,multiplier,10+SLv*3,,,,,,,
,,,,,,,,multiplier.registlet,2*RLv,,,,,,,
,,,,,,,,frequency,10,,,,,,,
,,,,,,,,title,each,,,,,,,
,,,,,,,,is_place,1,,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,,,action_frame,66~45,,,,,,,
,,,,,,-,extra,caption,此技能必定不暴擊,,,,,,,
,,,,,,2,effect,condition,hit,,,,,,,
,,,,,,,,critical_damage,"Math.max(1,Math.min(10,0.5+SLv*0.5+$DEX*0.02))",,,,,,,
,,,,,,,,critical_damage.display,0.5+SLv*0.5+$DEX*0.02,,,,,,,
,,,,,,,,duration,2+SLv,,,,,,,
,,,,,,3,list,text,暴擊傷害加成量，最少為![1]，最多為![10]。,,,,,,,
6,,非預設,雙手劍,,,1,,multiplier,15+SLv*3,,,,,,,
,,,,,,2,,critical_damage.display,(SLv+1)*0.25+$DEX*0.01,,,,,,,
,,,,,,,,critical_damage,"Math.max(1,Math.min(5,0.5+SLv*0.25+$DEX*0.01))",,,,,,,
,,,,,,3,list,text,暴擊傷害加成量，最少為![1]，最多為![5]。,,,,,,,
6,,非預設,雙劍,,,2,,critical_damage.display,(SLv+1)*0.25+$DEX*0.01,,,,,,,
,,,,,,,,critical_damage,"Math.max(1,Math.min(5,0.5+SLv*0.25+$DEX*0.01))",,,,,,,
,,,,,,3,list,text,暴擊傷害加成量，最少為![1]，最多為![5]。,,,,,,,
7,風暴氣流,預設,單手劍,,,-,text,text,向目標發射一道!B[刃風]，!B[刃風]將在造成傷害後消失，並隨即於目標位置產生!B[風刃氣旋]。,,400,12,瞬發,可以放入連擊,稍慢,
,,,,,,,,is_mark,1,,,,,,,
,,,,,,-,proration,damage,physical,,,,,,,
,,,,,,,,proration,magic,,,,,,,
,,,,,,1,damage,name,刃風,,,,,,,
,,,,,,,,constant,0,,,,,,,
,,,,,,,,multiplier,150+10*SLv,,,,,,,
,,,,,,,,type,AOE,,,,,,,
,,,,,,,,radius,Math.floor(SLv/3)+3,,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,,,action_frame,~66,,,,,,,
,,,,,,2,damage,name,風刃氣旋,,,,,,,
,,,,,,,,constant,80,,,,,,,
,,,,,,,,multiplier,50+5*SLv+$BDEX*0.2,,,,,,,
,,,,,,,,is_place,1,,,,,,,
,,,,,,,,type,AOE,,,,,,,
,,,,,,,,title,each,,,,,,,
,,,,,,,,judgment,separate,,,,,,,
,,,,,,,,radius,Math.floor(SLv/3)+3,,,,,,,
,,,,,,,,frequency,2+Math.floor((SLv-1)/2),,,,,,,
,,,,,,,,cycle,0.5,,,,,,,
,,,,,,,,duration,3,,,,,,,
,,,,,,,,duration.registlet,RLv/2,,,,,,,
,,,,,,,,range_damage,0,,,,,,,
,,,,,,-,tips,text,!B[風刃氣旋]的中心位置為!B[刃風]擊中目標時的位置。,,,,,,,
7,,非預設,雙手劍,,,1,,multiplier,250+10*SLv+$BSTR*0.2,,,,,,,
,,,,,,2,,multiplier,50+5*SLv,,,,,,,
7,,非預設,雙劍,,,,,,,,,,,,,
7,,歷史紀錄,0,2020/07/16,,1,,range_damage,0,,,,,,,
,,,,,,2,,multiplier,75+5*SLv,,,,,,,
7,,歷史紀錄,1,2020/07/16,,1,,multiplier,275+10*SLv,,,,,,,
,,,,,,,,range_damage,0,,,,,,,
7,,歷史紀錄,2,2020/07/16,,1,,range_damage,0,,,,,,,
,,,,,,2,,multiplier,75+5*SLv,,,,,,,
,,,,,,,,,,,,,,,,
8,破壞之刃,預設/and,單手劍,盾牌,,-,proration,damage,physical,,300,7,瞬發,可以放入連擊,稍快,
,,,,,,1,damage,constant,SLv*30,,,,,,,
,,,,,,,,multiplier,"SLv*75+stack*20+$BDEX*(0.5+0.5*Math.min(1,stack))",,,,,,,
,,,,,,,,frequency,3,,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,,,action_frame,92~52,,,,,,,
,,,,,,-,extra,caption,此技能#[必定暴擊]。,,,,,,,
,,,,,,-,text,text,若沒有處於!B[劍芒]狀態，將獲得!B[劍芒]狀態。,,,,,,,
,,,,,,4,effect,weapon_atk,SLv+$shield_refining,%,,,,,,
,,,,,,,,duration,10,,,,,,,
,,,,,,,,name,劍芒,,,,,,,
,,,,,,,,condition,尚未持有此效果時,,,,,,,
,,,,,,-,extra,caption,再獲得振奮效果。,,,,,,,
,,,,,,,,condition,獲得狀態時,,,,,,,
,,,,,,,,branch,振奮,,,,,,,
,,,,,,3,heal,type,hp,,,,,,,
,,,,,,,,constant,1000,,,,,,,
,,,,,,,,extra_text,"角色基礎VIT, 盾牌def",,,,,,,
,,,,,,,,extra_value,2,,,,,,,
,,,,,,,,name,振奮,,,,,,,
,,,,,,-,text,text,僅限主手單手劍且非雙劍，此技能倍率將受!S[靈氣之刃]技能等級加成（被動效果）。,,,,,,,
,,,,,,,,is_mark,1,,,,,,,
,,,,,,-,stack,name,靈氣之刃技能等級,,,,,,,
,,,,,,,,id,1,,,,,,,
,,,,,,,,min,0,,,,,,,
,,,,,,,,max,10,,,,,,,
,,,,,,,,value,getSkillLevel('0-0-17'),,,,,,,
8,,非預設,單手劍,,,4,effect,weapon_atk,SLv,%,,,,,,
,,,,,,3,heal,extra_text,角色基礎VIT,,,,,,,
,,,,,,,,extra_value,2,,,,,,,
8,,非預設,雙手劍,,,1,,multiplier,SLv*75+$BSTR*1,,,,,,,
,,,,,,3,heal,extra_text,,,,,,,,
,,,,,,,,extra_value,,,,,,,,
,,,,,,4,effect,weapon_atk,SLv,%,,,,,,
8,,非預設,雙劍,,,1,,multiplier,SLv*75,,,,,,,
,,,,,,3,heal,extra_text,角色基礎VIT,,,,,,,
,,,,,,,,extra_value,2,,,,,,,
,,,,,,4,effect,weapon_atk,SLv,%,,,,,,
8,,歷史紀錄,0,2020/07/16,,1,,multiplier,SLv*75,,,,,,,
,,,,,,3,,extra_text,角色基礎VIT,,,,,,,
,,,,,,,,extra_value,2,,,,,,,
,,,,,,4,,weapon_atk,SLv,%,,,,,,
8,,歷史紀錄,1,2020/07/16,,1,,multiplier,SLv*75,,,,,,,
8,,歷史紀錄,0,2024/04/18,,1,,multiplier,SLv*75+$BDEX*0.5,,,,,,,
8,,歷史紀錄,1,2024/04/18,,1,,multiplier,SLv*75+$BDEX*0.5,,,,,,,
9,劍術要領,預設,單手劍,,,-,passive,atk,Math.floor((SLv-3)/5)+2,%,,,被動,,,
,,,,,,,,weapon_atk,3*SLv,%,,,,,,
9,,非預設,雙劍,,,,,,,,,,,,,
9,,非預設,雙手劍,,,,,,,,,,,,,
10,劍速提升,預設,單手劍,,,-,passive,aspd,10*SLv,,,,被動,,,
,,,,,,,,aspd,SLv,%,,,,,,
10,,非預設,雙劍,,,,,,,,,,,,,
10,,非預設,雙手劍,,,,,,,,,,,,,
11,大師級劍術,預設,單手劍,,,-,passive,total_damage_A.displayTitle,劍術技能中的攻擊技能，總傷害,,,,被動,,,
,,,,,,,,total_damage_A,2*SLv,,,,,,,
,,,,,,,,total_damage_A.conditionValue,$skill.id.startsWith('0-0-') && $skill.id != '0-0-3' && $skill.id != '0-0-21',,,,,,,
,,,,,,-,list,text,對!S[爆氣斬]與!S[風暴烈焰]無效。,,,,,,,
11,,非預設,雙劍,,,,,,,,,,,,,
11,,非預設,雙手劍,,,,,,,,,,,,,
12,戰吼,預設,單手劍,,,1,effect,type,party,,300,,瞬發,可以放入連擊,快,
,,,,,,,,atk,SLv,%,,,,,,
,,,,,,,,duration,65+SLv,,,,,,,
,,,,,,,,name,戰吼,,,,,,,
,,,,,,,,action_frame,61~37,,,,,,,
,,,,,,-,extra,caption,消除所有友方的#[畏懼]狀態。,,,,,,,
,,,,,,,,condition,施放成功後,,,,,,,
,,,,,,-,list,text,學習騎士精神中的騎士勇姿後，戰吼狀態追加一定機率抵抗#[畏懼]的效果，最大機率100%。,,,,,,,
,,,,,,,,skill,騎士勇姿,,,,,,,
,,,,,,-,list,text,不同玩家施放戰吼，狀態覆蓋的原則是：技能等級高者優先於技能等級低者；若技能等級相同，則持續時間較長者優先。,,,,,,,
,,,,,,,,mark,戰吼,,,,,,,
12,,非預設,雙劍,,,,,,,,,,,,,
12,,非預設,雙手劍,,,1,,atk,5+SLv,%,,,,,,
,,,,,,,,duration,15+SLv,,,,,,,
12,,非預設,,,,1,,duration,15+SLv,,,,,,,
13,狂戰士之怒,預設,單手劍,,,-,text,text,使自身狂暴化，並且一般攻擊獲得強化。,,500 ,,瞬發,可以放入連擊,快,
,,,,,,,,branch,狂暴化,,,,,,,
,,,,,,,,is_mark,1,,,,,,,
,,,,,,1,effect,name,狂暴化,,,,,,,
,,,,,,,,aspd,SLv*100,,,,,,,
,,,,,,,,aspd,SLv*10,%,,,,,,
,,,,,,,,critical_rate,SLv*2.5,,,,,,,
,,,,,,,,stability_main,-50+SLv*2.5,,,,,,,
,,,,,,,,def,-50+SLv/2,%,,,,,,
,,,,,,,,mdef,-50+SLv/2,%,,,,,,
,,,,,,,,duration,30,,,,,,,
,,,,,,,,action_frame,61~37,,,,,,,
,,,,,,-,extra,caption,狀態期間獲得斬擊強化。,,,,,,,
,,,,,,,,branch,斬擊強化,,,,,,,
,,,,,,2,extra,caption,使爆氣斬的狀態不會因為受到異常狀態而解除。,,,,,,,
,,,,,,,,skill,爆氣斬,,,,,,,
,,,,,,-,effect,normal_attack_multiplier,10*SLv,,,,,,,
,,,,,,,,condition,狀態期間,,,,,,,
,,,,,,,,name,斬擊強化,,,,,,,
13,,非預設,雙手劍,,,1,effect,critical_rate,SLv*5,,,,,,,
,,,,,,,,def,-100+SLv,%,,,,,,
,,,,,,,,mdef,-100+SLv,%,,,,,,
13,,非預設,雙劍,,,1,effect,def,-100+SLv,%,,,,,,
,,,,,,,,mdef,-100+SLv,%,,,,,,
13,,非預設,,,,1,effect,def,-100+SLv,%,,,,,,
,,,,,,,,mdef,-100+SLv,%,,,,,,
,,,,,,,,stability_main,-100+SLv*5,,,,,,,
,,,,,,,,duration,10,,,,,,,
,,,,,,2,,,,,,,,,,
14,快速蹴擊,預設,單手劍,,,1,proration,damage,normal_attack,,300 ,main,瞬發,可以放入連擊,快,
,,,,,,2,damage,constant,"Math.min(3*(SLv+1)*(SLv+1),300)",,,,,,,
,,,,,,,,multiplier,"Math.min(30+5*SLv,75)",,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,,,action_frame,61~37,,,,,,,
,,,,,,3,next,condition,技能等級10時,,,,,,,
,,,,,,,,caption,下一招技能#[MP消耗減半]。,,,,,,,
,,,,,,4,,,,,,,,,,
14,,非預設,雙手劍,,,,,,,,,,,,,
14,,非預設,雙劍,,,2,,ailment_name,翻覆,,200 ,,,,,
,,,,,,,,ailment_chance,10*SLv,,,,,,,
,,,,,,4,text,text,2020/10/22技能調整：雙劍可使用本技能。,,,,,,,
15,完封,預設,單手劍,,,1,text,text,對目標造成完封。若目標處於#[膽怯]/#[翻覆]/#[昏厥]任一狀態中，且未處於#[出血]，則完封將改為完全比賽。,,100 ,main,瞬發,可以放入連擊,一般,
,,,,,,,,is_mark,1,,,,,,,
,,,,,,,,mark,"完封,完全比賽",,,,,,,
,,,,,,-,proration,damage,physical,,,,,,,
,,,,,,2,damage,name,完封,,,,,,,
,,,,,,,,constant,100,,,,,,,
,,,,,,,,multiplier,500+$BDEX*0.5,,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,,,action_frame,122~66,,,,,,,
,,,,,,3,damage,name,完全比賽,,,,,,,
,,,,,,,,constant,100,,,,,,,
,,,,,,,,multiplier,1000+150*SLv+$BDEX,,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,,,ailment_name,出血,,,,,,,
,,,,,,,,ailment_chance,100,,,,,,,
,,,,,,5,extra,physical_pierce,300,~,,,,,,
,,,,,,-,list,text,本技能的出血狀態，持續10秒，抵抗10秒。,,,,,,,
,,,,,,4,,,,,,,,,,
,,,,,,-,tips,text,完封與完全比賽,,,,,,,
,,,,,,-,group,size,2,,,,,,,
,,,,,,-,reference,url,https://zh.wikipedia.org/wiki/%E5%AE%8C%E5%B0%81,,,,,,,
,,,,,,,,url_text,完封,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,-,reference,url,https://zh.wikipedia.org/wiki/%E5%AE%8C%E5%85%A8%E6%AF%94%E8%B3%BD,,,,,,,
,,,,,,,,url_text,完全比賽,,,,,,,
15,,非預設,雙手劍,,,2,,multiplier,500+100*SLv,,,,,,極慢,
,,,,,,,,action_frame,122~122,,,,,,,
,,,,,,3,,multiplier,1000+100*SLv,,,,,,,
,,,,,,4,list,text,雙手劍使用時，本技能不受行動速度影響。,,,,,,,
,,,,,,5,,,,,,,,,,
15,,非預設,雙劍,,,2,,constant,200,,,,,,,
,,,,,,,,multiplier,500+$BAGI*0.25,,,,,,,
,,,,,,3,,constant,200,,,,,,,
,,,,,,,,multiplier,1000+150*SLv+$BAGI*0.5,,,,,,,
,,,,,,5,,,,,,,,,,
,,,,,,,,,,,,,,,,
15,,歷史紀錄,0,2022/04/07,,2,,multiplier,500,,,,,,,
15,,歷史紀錄,0,2022/06/23,,-,text,text,變更異常狀態#[出血]對怪物的效果。,,,,,,,
15,,歷史紀錄,1,2022/06/23,,-,text,text,變更異常狀態#[出血]對怪物的效果。,,,,,,,
15,,歷史紀錄,2,2022/06/23,,-,text,text,"隨等級250開放，雙劍始可使用此技能。
變更異常狀態#[出血]對怪物的效果。",,,,,,,
16,月弧斬,預設,雙手劍,,,-,text,text,以月弧斬向上劈砍對象，並以月之刃追加攻擊。,,400 ,main,瞬發,可以放入連擊,稍快,
,,,,,,,,is_mark,1,,,,,,,
,,,,,,,,branch,"月弧斬, 月之刃",,,,,,,
,,,,,,-,proration,damage,physical,,,,,,,
,,,,,,-,damage,name,月弧斬,,,,,,,
,,,,,,,,constant,400,,,,,,,
,,,,,,,,multiplier,1000,,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,,,mark,"月弧斬, 月之刃",,,,,,,
,,,,,,,,action_frame,92~52,,,,,,,
,,,,,,-,space,#,,,,,,,,
,,,,,,-,proration,damage,physical,,,,,,,
,,,,,,,,proration,none,,,,,,,
,,,,,,-,damage,name,月之刃,,,,,,,
,,,,,,,,constant,$BINT/2,,,,,,,
,,,,,,,,multiplier,$STR*0.1*SLv,,,,,,,
,,,,,,,,ailment_name,疲勞,,,,,,,
,,,,,,,,ailment_chance,6*SLv,,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,1,text,text,雙手劍使用後，將累積月之刃層數。該層數會在其他攻擊技能命中敵人時，進行月之刃(追擊)。,,,,,,,
,,,,,,,,is_mark,1,,,,,,,
,,,,,,,,mark,"其他攻擊技能,月之刃層數,月之刃(追擊)",,,,,,,
,,,,,,-,list,text,至少能獲得1層月之刃層數。當置於連擊中且非起始技時，給予的月之刃層數變為((#[連擊位置]-1))層。,,,,,,,
,,,,,,,,mark,"月之刃層數,月之刃(追擊)",,,,,,,
,,,,,,-,list,text,月之刃層數最高可累積9層，每次發動月之刃(追擊)時消耗一層。,,,,,,,
,,,,,,,,mark,"月之刃層數,月之刃(追擊)",,,,,,,
,,,,,,-,list,text,與傷害段數無關，每個技能對單個目標最多造成一次追擊；當目標被其他技能擊殺時，月之刃不會追擊；若是範圍技能命中多個目標，則每次追擊均會扣減層數。,,,,,,,
,,,,,,,,mark,"月之刃層數, 月之刃",,,,,,,
,,,,,,-,proration,damage,physical,,,,,,,
,,,,,,,,proration,none,,,,,,,
,,,,,,-,damage,name,月之刃(追擊),,,,,,,
,,,,,,,,constant,$BINT,,,,,,,
,,,,,,,,multiplier,$STR*0.1*SLv,,,,,,,
,,,,,,,,combo_rate,0,,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,-,extra,caption,此傷害的暴擊率為((${10*SLv}+角色CRT))%，不受裝備或其他狀態影響（但會受怪物的抵抗暴擊能力影響）。,,,,,,,
,,,,,,-,extra,caption,此傷害不受連擊效果影響。,,,,,,,
16,,非預設,單手劍,,,1,text,text,（以下效果僅限雙手劍）使用後，將累積月之刃層數。該層數會在其他攻擊技能命中敵人時，進行月之刃(追擊)。,,,,,,,
17,靈氣之刃,預設,單手劍,,,-,text,text,以靈氣之刃向周圍斬擊，並獲得靈氣狀態。,,200 ,-,瞬發,可以放入連擊,慢,
,,,,,,,,is_mark,1,,,,,,,
,,,,,,,,branch,"靈氣之刃, 靈氣",,,,,,,
,,,,,,-,proration,damage,physical,,,,,,,
,,,,,,1,damage,name,靈氣之刃,,,,,,,
,,,,,,,,constant,200,,,,,,,
,,,,,,,,multiplier,500+100*SLv,,,,,,,
,,,,,,,,type,AOE,,,,,,,
,,,,,,,,radius,3.5,,,,,,,
,,,,,,,,end_position,self,,,,,,,
,,,,,,,,frequency,2,,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,,,action_frame,182~97,,,,,,,
,,,,,,2,effect,name,靈氣,,,,,,,
,,,,,,,,additional_meele,10*SLv,,,,,,,
,,,,,,,,duration,40,,,,,,,
,,,,,,3,extra,total_damage_B,20,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,condition,所有技能,,,,,,,
,,,,,,4,extra,caption,延長此狀態效果10秒,,,,,,,
,,,,,,,,condition,獲得破壞之刃的劍芒狀態時,,,,,,,
,,,,,,-,list,text,靈氣效果對本技能自身無效。,,,,,,,
,,,,,,5,,,,,,,,,,
