名稱 (Name),屬性分類,屬性名稱,屬性值 (Property Value),屬性值2
多利多蛞蝓,stats,long_range_damage,10%,
,,accuracy,17%,
,,max_hp,-25%,
,other,enhancer,樹毒羚,
1,3,活動王（定點王）,,
被詛咒的鍛晶,stats,atk,5%,
,,matk,5%,
,,stability,5,
,,motion_speed,5,
,,recoil_damage,20,
,obtain,event,,
,,name,製作人化身,
,other,item_difficulty,不可交易,
白狂牙．靈鋒,stats,agi,4%,
,,max_hp,-12%,
,,atk,7%,
,,attack_mp_recovery,1,
愛貓爪護衛喵,stats,agi,4%,
,,max_hp,-12%,
,,atk,10%,
,,attack_mp_recovery,2,
,,ailment_resistance,2,
,obtain,event,,
,,name,護衛魔像,
,,map,第7回馬奇史東之路(第四戰),
,other,enhancer,白狂牙．靈鋒,
魔力費雷西亞改,stats,agi,4%,
,,max_hp,-12%,
,,atk,13%,
,,attack_mp_recovery,4,
,,ailment_resistance,4,
,obtain,event,,
,,name,雷菲娜&費雷西亞,
,,map,第10回馬奇史東之路（第四戰）,
,other,enhancer,愛貓爪護衛喵,
戲龍小丑,stats,accuracy,10%,
,,aspd,200,
,,cspd,200,
,,critical_rate,10,
,obtain,event,,
,,name,薩斯@地獄,
,,,,
古利希婭,stats,atk,6%,
,,matk,6%,
,,physical_pierce,3,
,,magic_pierce,3,
,,neutral_resistance,1,
,,stronger_against_neutral,1,
,,guard_regenerate,-10,
,,evasion_regenerate,-10,
,obtain,name,勇敢女神古利希婭,
,,event,,
勇者波多姆,stats,max_hp,10%,
,,fractional_barrier,10,
,,accuracy,10%,
,,aggro,10,
勇者波多姆II,stats,max_hp,11%,
,,fractional_barrier,12,
,,accuracy,13%,
,,aggro,14,
,other,enhancer,勇者波多姆,
勇者波多姆III,stats,max_hp,12%,
,,fractional_barrier,14,
,,accuracy,16%,
,,aggro,18,
,other,enhancer,勇者波多姆Ⅱ,
勇者波多姆Ⅳ,stats,max_hp,13%,
,,fractional_barrier,16,
,,accuracy,19%,
,,aggro,22,
,other,enhancer,勇者波多姆Ⅲ,
榛杜,stats,str,3%,
,,critical_damage,7,
,,aggro,-10,
枯木騎士,stats,stability,5,
,,dodge,15%,
王者馬奇史東,stats,max_hp,1000,
,,critical_rate,15,
,,fire_resistance,3,
,obtain,name,馬奇史東@三周年,
王者馬奇史東II,stats,max_hp,1200,
,,critical_rate,16,
,,fire_resistance,3,
,,light_resistance,3,
,other,enhancer,王者馬奇史東,
,obtain,name,馬奇史東@四周年,
王者馬奇史東III,stats,max_hp,1400,
,,critical_rate,18,
,,fire_resistance,3,
,,light_resistance,3,
,,wind_resistance,3,
,other,enhancer,王者馬奇史東II,
,obtain,name,馬奇史東@五周年,
王者馬奇史東IV,stats,max_hp,1600,
,,critical_rate,20,
,,fire_resistance,6,
,,water_resistance,3,
,,light_resistance,3,
,,wind_resistance,3,
,other,enhancer,王者馬奇史東III,
,obtain,name,馬奇史東@六周年,
王者馬奇史東V,stats,max_hp,1800,
,,critical_rate,23,
,,fire_resistance,6,
,,water_resistance,6,
,,wind_resistance,3,
,,earth_resistance,3,
,,light_resistance,3,
,other,enhancer,王者馬奇史東IV,
,obtain,name,馬奇史東@七周年,
王者馬奇史東VI,stats,max_hp,2000,
,,critical_rate,26,
,,fire_resistance,6,
,,water_resistance,6,
,,wind_resistance,6,
,,earth_resistance,3,
,,light_resistance,3,
,,dark_resistance,3,
,other,enhancer,王者馬奇史東V,
,obtain,name,馬奇史東@八周年,
王者馬奇史東VII,stats,max_hp,2200,
,,critical_rate,29,
,,fire_resistance,6,
,,water_resistance,6,
,,wind_resistance,6,
,,earth_resistance,6,
,,light_resistance,3,
,,dark_resistance,3,
,,neutral_resistance,3,
,other,enhancer,王者馬奇史東VI,
,obtain,name,馬奇史東@九周年,
王者馬奇史東VIII,stats,max_hp,2400,
,,critical_rate,32,
,,fire_resistance,6,
,,water_resistance,6,
,,wind_resistance,6,
,,earth_resistance,6,
,,light_resistance,6,
,,dark_resistance,6,
,,neutral_resistance,3,
,other,enhancer,王者馬奇史東VII,
,obtain,name,馬奇史東@十周年,
劍型曼特恩改,stats,atk,7%,
,,matk,7%,
,,aggro,-28,
,,reduce_dmg_bullet,14,
,,reduce_dmg_bowling,14,
,obtain,name,劍型曼特恩@高難度,
三足怪鳥,stats,atk,10%,
,,matk,10%,
,,aggro,-40,
,,reduce_dmg_bullet,20,
,,reduce_dmg_bowling,20,
,other,enhancer,劍型曼特恩改,
功夫龍波姆,stats,agi,5%,
,,atk,5%,
,,aggro,-5,
,,absolute_dodge,5,knuckle
功夫龍波姆II,stats,agi,7%,
,,atk,9%,
,,aggro,-15,
,,absolute_dodge,5,knuckle
,other,enhancer,功夫龍波姆,
功夫龍波姆III,stats,atk,12%,
,,agi,10%,
,,aggro,-20,
,,absolute_dodge,10,
,other,enhancer,功夫龍波姆II,
死靈妖兔,stats,max_hp,-25%,
,,matk,6%,
,,cspd,12%,
,,motion_speed,3,
,,attack_mp_recovery,-50%,
死靈妖兔II,stats,max_hp,-15%,
,,matk,7%,
,,cspd,14%,
,,motion_speed,3,
,,attack_mp_recovery,-30%,
,obtain,name,死靈妖兔,
,other,enhancer,死靈妖兔,
風牙,stats,max_hp,400,
,,attack_mp_recovery,3,
,,magic_resistance,2,
,,water_resistance,1,
,obtain,name,風牙@第一次馬奇史東之路,
風牙II,stats,max_hp,500,
,,attack_mp_recovery,4,
,,magic_resistance,3,
,,water_resistance,2,
,other,enhancer,風牙,
,obtain,name,風牙@第二次馬奇史東之路,
風牙III,stats,max_hp,600,
,,attack_mp_recovery,5,
,,magic_resistance,4,
,,water_resistance,3,
,other,enhancer,風牙II,
,obtain,name,風牙@第三次馬奇史東之路,
風牙IV,stats,max_hp,700,
,,attack_mp_recovery,6,
,,magic_resistance,5,
,,water_resistance,4,
,other,enhancer,風牙III,
,obtain,name,風牙@第四次馬奇史東之路,
風牙V,stats,max_hp,800,
,,attack_mp_recovery,7,
,,magic_resistance,6,
,,water_resistance,5,
,other,enhancer,風牙IV,
,obtain,name,風牙@第五次馬奇史東之路,
風牙VI,stats,max_hp,900,
,,attack_mp_recovery,8,
,,magic_resistance,7,
,,water_resistance,6,
,other,enhancer,風牙V,
,obtain,name,風牙@第六次馬奇史東之路,
風牙VII,stats,max_hp,1000,
,,attack_mp_recovery,9,
,,magic_resistance,8,
,,water_resistance,7,
,other,enhancer,風牙VI,
,obtain,name,風牙@第七次馬奇史東之路,
風牙VIII,stats,max_hp,1100,
,,attack_mp_recovery,10,
,,magic_resistance,9,
,,water_resistance,8,
,other,enhancer,風牙VII,
,obtain,name,風牙@第八次馬奇史東之路,
風牙IX,stats,max_hp,1200,
,,attack_mp_recovery,11,
,,magic_resistance,10,
,,water_resistance,9,
,other,enhancer,風牙VIII,
,obtain,name,風牙@第九次馬奇史東之路,
風牙X,stats,max_hp,1300,
,,attack_mp_recovery,12,
,,magic_resistance,11,
,,water_resistance,10,
,other,enhancer,風牙IX,
,obtain,name,風牙@第十次馬奇史東之路,
怪傑童鼠,stats,long_range_damage,4,
,,unsheathe_attack_multiplier,4,
,,aggro,-20,
,,matk,6%,staff
,obtain,name,怪盜韋斯普@地獄,
魔糰子,stats,atk,4%,
,,physical_pierce,20,
,,aggro,-10,
,,ailment_resistance,-15,
,,max_mp,-200,
不比兔,stats,atk,6%,
,,physical_pierce,20,
,,aggro,-15,
,,ailment_resistance,-15,
,,max_mp,-200,
,other,enhancer,魔糰子,
,obtain,name,不比兔@狂亂(280),
櫻糰子,stats,atk,4%,
,,physical_pierce,20,
,,ailment_resistance,-5,
,,max_mp,-100,
,other,enhancer,魔糰子,
疾紅的獨眼狼,stats,short_range_damage,8,
,,anticipate,4,
,,physical_resistance,-16,
,,magic_resistance,-8,
,,critical_damage,1%,sub.dagger
,,aggro,-20,sub.1h_sword
,obtain,name,聖萬狼@地獄,
黑衣聖誕公主,stats,atk,9%,
,,str,3%,
,,matk,9%,
,,int,3%,
,,long_range_damage,-6%,
,,tumble_unavailable,1,
,,aggro,-50%,sub.shield
,obtain,name,黑暗貝莉,
幻奏領主,stats,atk,12%,
,,str,4%,
,,matk,12%,
,,int,4%,
,,long_range_damage,-6%,
,,tumble_unavailable,1,
,,aggro,-50%,sub.shield
,other,enhancer,黑衣聖誕公主,
原初之誘月華,stats,atk,10%,
,,matk,10%,
,,max_hp,10%,
,,anticipate,10%,
,,guard_break,10%,
,,max_mp,-200,
,obtain,name,愛普瑪布@地獄,
究極波多姆,stats,long_range_damage,10%,
,,evasion_regenerate,15%,
,,additional_meele,20%,
,other,enhancer,奇蹟波多姆,
斯圖姆恩,stats,atk,5%,
,,matk,5%,
,,short_range_damage,5%,
,,aspd,5%,
,,water_resistance,5%,
,,motion_speed,2%,sub.1h_sword
,,max_hp,-9%,sub.1h_sword
,,int,5%,magic_device
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1,4,活動王（區域）,,
,,,,
1,5,活動王（小怪）,,
盛夏的熱情,stats,max_hp,15%,
,,critical_rate,20,
,,fire_resistance,25,
,,recoil_damage,3,
,obtain,name,"合成所，材料為：夢幻珍珠x10,翠珍珠x20,海底結晶石x30,「舞者之書」x1",
,recipe,materials,"夢幻珍珠#10,翠珍珠#20,海底結晶石#30,「舞者之書」#1",
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
0,1,身體裝備,,
1,0,定點王,,
獠牙王,stats,max_hp,1000,
,,weapon_atk,1%,
伊科諾斯,stats,max_hp,2000,
,,weapon_atk,2%,
,other,enhancer,獠牙王,
歐勒拉夫,stats,max_hp,3000,
,,weapon_atk,3%,
,other,enhancer,伊科諾斯,
札菲洛加,stats,max_hp,4000,
,,weapon_atk,4%,
,other,enhancer,歐勒拉夫,
岩龍飛爾尊,stats,max_hp,5000,
,,weapon_atk,5%,
,other,enhancer,札菲洛加,
伽拉木瓦,stats,max_hp,6000,
,,weapon_atk,6%,
,other,enhancer,岩龍飛爾尊,
佛雷帝亞,stats,evasion_regenerate,5,
,,magic_resistance,3,
,,matk,1%,
格勞斯,stats,evasion_regenerate,15,
,,magic_resistance,6,
,,matk,6%,
,,matk_up_agi,25,body.dodge
,other,enhancer,佛雷帝亞,
翡翠鳥,stats,max_mp,300,
,,attack_mp_recovery,1,
,,cspd,100,
丹德利翁,stats,max_mp,500,
,,attack_mp_recovery,4,
,,cspd,300,
,,stability,6%,body.dodge
,other,enhancer,超級病死菇,
地獄三頭犬,stats,unsheathe_attack_multiplier,3,
,,physical_pierce,3,
,,critical_damage,3,
結晶獸,stats,unsheathe_attack_multiplier,4,
,,physical_pierce,4,
,,critical_damage,4,
,other,enhancer,地獄三頭犬,
晶瑪體,stats,unsheathe_attack_multiplier,7,
,,physical_pierce,5,
,,critical_damage,6,
,other,enhancer,結晶獸,
合成魔獸,stats,max_mp,600,
,,fractional_barrier,12,
漂漂媽,stats,max_mp,700,
,,fractional_barrier,15,
,other,enhancer,合成魔獸,
犰爾達,stats,max_mp,800,
,,fractional_barrier,17,
,,critical_rate,3,
,other,enhancer,漂漂媽,
比斯奇巴,stats,max_mp,900,
,,fractional_barrier,19,
,,critical_rate,7,
,,critical_damage,2%,
,other,enhancer,犰爾達,
劍型曼特恩,stats,str,3%,
,,long_range_damage,4,
,,accuracy,5%,
,,max_hp,-1000,
魔蝕皮魯茲,stats,max_hp,30%,
,,physical_resistance,-10,
,,magic_resistance,-10,
絲岩比爾,stats,max_hp,60%,
,,physical_resistance,-7,
,,magic_resistance,-7,
,other,enhancer,魔蝕皮魯茲,
鬱香．MAX,stats,max_hp,-30%,
,,physical_resistance,10%,
,,magic_resistance,10%,
,,critical_rate,10,
,other,enhancer,魔蝕皮魯茲,
,obtain,name,九周年EX,
魔人庫維札,stats,max_mp,1000,
,,cspd,300,
,,motion_speed,1%,
魔人之眼,stats,max_hp,1000,
,,aspd,300,
,,tumble_unavailable,1,
,other,enhancer,魔人庫維札,
惡靈巨蛛,stats,atk,8%,
,,critical_rate,8,
,,max_hp,-400,
,,max_mp,-400,
,,short_range_damage,4,sub.shield
薩波,stats,atk,10%,
,,critical_rate,10,
,,max_hp,-400,
,,max_mp,-400,
,,short_range_damage,5%,sub.shield
,,str,1%,sub.shield
,other,enhancer,惡靈巨蛛,
普葉特,stats,atk,12%,
,,critical_rate,12,
,,max_hp,-800,
,,max_mp,-400,
,,short_range_damage,6%,sub.shield
,,str,2%,sub.shield
,other,enhancer,薩波,
穆爾貢之手,stats,short_range_damage,6%,
,,long_range_damage,4%,
,,accuracy,5%,
,,max_hp,10000,
,,max_mp,-100,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1,1,區域王,,
科隆長官,stats,max_hp,150,
,,max_mp,50,
葛雷普斯,stats,max_hp,750,
,,max_mp,250,
,other,enhancer,科隆長官,
湖龜,stats,guard_regenerate,5,
,,physical_resistance,3,
,,max_hp,1%,
菱紋企鵝老爹,stats,guard_regenerate,6,
,,physical_resistance,6,
,,max_hp,6%,
,other,enhancer,湖龜,
卡波．普羅芬多,stats,guard_regenerate,8,
,,physical_resistance,12,
,,max_hp,16%,
,other,enhancer,菱紋企鵝老爹,
闇針獸,stats,guard_regenerate,10,
,,physical_resistance,18,
,,max_hp,26%,
,,fractional_barrier,5%,
,other,enhancer,卡波．普羅芬多,
彩雲獸,stats,max_hp,10%,
,,def,10%,
,,natural_hp_regen,10%,
超級病死菇,stats,max_mp,400,
,,attack_mp_recovery,3,
,,cspd,200,
,other,enhancer,翡翠鳥,
邦衛魔像,stats,fractional_barrier,10,
,,cspd,15%,
,,aggro,-20,
暴風龍,stats,fractional_barrier,10,
,,cspd,20%,
,,aggro,-30,
,other,enhancer,邦衛魔像,
小丑牙魚,stats,attack_mp_recovery,10,
,,barrier_cooldown,10,
,,water_resistance,10,
骷髏楊,stats,attack_mp_recovery,15,
,,barrier_cooldown,20,
,,water_resistance,10,
,,dark_resistance,10,
,other,enhancer,小丑牙魚,
死神稻草人,stats,long_range_damage,6,
,,aggro,-15,
,,max_hp,-30%,
似曜隕石,stats,unsheathe_attack_multiplier,9%,
,,physical_pierce,5%,
,,critical_damage,7,
,other,enhancer,晶瑪體,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1,2,小怪,,
,,,,
,,,,
1,3,活動王（定點）,,
封印獸,stats,max_hp,1000,
,,critical_damage,1,
滅基亞,stats,max_hp,2000,
,,critical_damage,2,
,other,enhancer,封印獸,
咲麗朱櫻,stats,max_hp,4000,
,,critical_damage,4,
,,short_range_damage,2,
,other,enhancer,滅基亞,
寶蓋熊,stats,max_hp,7000,
,,critical_damage,7,
,,short_range_damage,5,
,other,enhancer,咲麗朱櫻,
鼯忍,stats,max_hp,10000,
,,critical_damage,9,
,,short_range_damage,6,
,,evasion_regenerate,25%,sub.ninjutsu_scroll
,other,enhancer,寶蓋熊,
黑桃忍者,stats,max_hp,10000,
,,critical_damage,9,
,,long_range_damage,6,
,,aggro,-25%,sub.ninjutsu_scroll
,other,enhancer,寶蓋熊,
歌杜,stats,atk,3%,
,,matk,3%,
,,accuracy,3%,
,,aggro,-3,
兔吉,stats,max_mp,100,
,,atk,1%,
,,unsheathe_attack_multiplier,1,
,,neutral_resistance,-1,
兔美,stats,max_mp,300,
,,atk,3%,
,,unsheathe_attack_multiplier,3,
,,neutral_resistance,-10,
,other,enhancer,兔吉,
兔麻糬,stats,max_mp,300,
,,atk,6%,
,,unsheathe_attack_multiplier,6,
,,neutral_resistance,-10,
,other,enhancer,兔美,
,obtain,name,魔糰子,
鴉羽大魔女,stats,stability,4,
,,motion_speed,2,
,,absolute_accuracy,1,
,,ailment_resistance,-14,
,obtain,name,柔艾,
諾耶莉爾,stats,matk,5%,
,,cspd,3%,
,,attack_mp_recovery,1%,
,obtain,name,諾耶莉爾冰雕@通常,
諾耶莉爾冰雕,stats,matk,5%,
,,cspd,30%,
,,attack_mp_recovery,10%,
,other,enhancer,諾耶莉爾,
,obtain,name,諾耶莉爾冰雕@隱藏,
約爾拉茲,stats,matk,7%,
,,int,3%,
,,cspd,35%,
,,attack_mp_recovery,10%,
,other,enhancer,諾耶莉爾冰雕,
蓋格納,stats,matk,10%,
,,int,6%,
,,cspd,40%,
,,attack_mp_recovery,10%,
,other,enhancer,約爾拉茲,
鐵之女帝,stats,max_hp,20%,
,,physical_resistance,10,
,,matk,5%,
,,magic_pierce,10,
,,cspd,20%,
,,max_mp,-300,
,obtain,name,上古女帝@高難地獄,
魅露瑟哈爾,stats,max_hp,25%,
,,physical_resistance,15,
,,matk,13%,
,,magic_pierce,10,
,,cspd,25%,
,,max_mp,-200,
,obtain,name,魅露瑟哈爾,
,other,enhancer,鐵之女帝,
鏡像之玄影,stats,max_hp,1500,
,,max_mp,300,
,,matk,6%,
,,evasion_regenerate,-10,
,obtain,name,鏡像之玄影舒爾,
黑暗貝莉,stats,max_hp,3000,
,,max_mp,400,
,,matk,9%,
,,evasion_regenerate,-20,
,other,enhancer,鏡像之玄影,
格羅克,stats,max_hp,4500,
,,max_mp,500,
,,matk,12%,
,,evasion_regenerate,-30,
,other,enhancer,黑暗貝莉,
怪盜韋斯普,stats,accuracy,20%,
,,critical_rate,10,
,,evasion_regenerate,10,
,,absolute_dodge,5,
巧酥獅,stats,max_hp,5%,
,,dodge,5%,
,,physical_resistance,5,
,,magic_resistance,5,
,,neutral_resistance,5,
巧酥獅II,stats,max_hp,7%,
,,dodge,7%,
,,physical_resistance,7,
,,magic_resistance,7,
,,neutral_resistance,7,
,other,enhancer,巧酥獅,
波姆波姆博士,stats,short_range_damage,7,
,,critical_rate,7%,
,,ailment_resistance,7,
李奧納多博士,stats,matk,2%,
,,long_range_damage,6,
,,critical_rate,10%,
,,max_hp,5000,
,,ailment_resistance,5,
李奧納多博士II,stats,matk,3%,
,,long_range_damage,6,
,,critical_rate,20%,
,,max_hp,6000,
,,ailment_resistance,5,
,other,enhancer,李奧納多博士,
,obtain,name,李奧納多博士@外包級,
DX法伊特,stats,atk,2%,
,,short_range_damage,6,
,,accuracy,10%,
,,max_hp,5000,
,,fractional_barrier,5,
DX法伊特II,stats,atk,3%,
,,short_range_damage,6,
,,accuracy,15%,
,,max_hp,6000,
,,fractional_barrier,5,
,other,enhancer,DX法伊特,
,obtain,name,李奧納多博士@外包級,
茄力,stats,max_hp,15%,
,,aggro,30,
,,def,45,
,obtain,name,茄龍歐瓦比昂@掉落物茄甲上拆取,
阿魯塔達爾,stats,stability,11%,
,,str,6%,
,,vit,6%,
,,short_range_damage,11%,body.dodge
,,stability,-5%,body.dodge
,,long_range_damage,11%,body.defense
,,stability,-5%,body.defense
,obtain,name,阿魯塔達爾,
席比拉雷斯,stats,atk,5%,
,,matk,5%,
,,physical_pierce,5,
,,magic_pierce,5,
,,critical_rate,15,
,,max_mp,-100,
斃魔斯,stats,atk,6%,
,,matk,6%,
,,physical_pierce,8%,
,,magic_pierce,8%,
,,critical_rate,17,
,,max_mp,-150,
,other,enhancer,席比拉雷斯,
獅哥東,stats,atk,10%,
,,matk,10%,
,,aspd,10%,
,,cspd,10%,
,,max_hp,-20%,
,,dex,5%,sub.shield
,,magic_pierce,5%,body.dodge
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1,4,活動王（區域）,,
加納瑪龜,stats,max_hp,3000,
,,physical_resistance,3,
,,magic_resistance,3,
,,short_range_damage,6,
,,aggro,15,
尤維麗婭,stats,max_mp,300,
,,physical_resistance,3,
,,magic_resistance,3,
,,short_range_damage,6,
,,aggro,-15,
,other,enhancer,加納瑪龜,
大管家普羅姆斯,stats,max_hp,6000,
,,weapon_atk,4%,
,,motion_speed,2%,
,,additional_meele,100%,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1,5,活動王（小怪）,,
,,,,
,,,,
0,2,追加裝備,,
1,0,定點王,,
狂暴龍,stats,critical_rate,6,
,,critical_damage,2,
機甲獅將,stats,critical_rate,8,
,,critical_damage,3,
,other,enhancer,狂暴龍,
皮多大王,stats,critical_rate,10,
,,critical_damage,4,
,other,enhancer,機甲獅將,
灼龍伊戈涅烏斯,stats,critical_rate,15,
,,critical_damage,8,
,,agi,3%,
,other,enhancer,皮多大王,
上古女帝,stats,short_range_damage,-10,
,,matk,3%,
,,cspd,50%,
上古女帝Ⅱ,stats,short_range_damage,-20,
,,matk,5%,
,,cspd,30%,
,other,enhancer,上古女帝,
,obtain,name,上古女帝@高難普通,
草龍耶弗,stats,long_range_damage,-10,
,,atk,3%,
,,aspd,50%,
放浪魔輪,stats,long_range_damage,-14,
