id,遊戲內名稱,公式,倍率,顯示順序,自訂能力隱藏
guard_break,破防,$t$v$u,無,5,
flinch_unavailable,封印膽怯,$t,無,10,
tumble_unavailable,封印翻覆,$t,無,10,
stun_unavailable,封印昏厥,$t,無,10,
recoil_damage,反作用傷害,$t$s$2d$u,無,10,
exp_rate,獲得EXP,,無,10,
element_fire,火屬性,$t,無,2,
element_water,水屬性,$t,無,2,
element_earth,地屬性,$t,無,2,
element_wind,風屬性,$t,無,2,
element_light,光屬性,$t,無,2,
element_dark,暗屬性,$t,無,2,
element_mana,魔屬性,$t,無,2,
absolute_dodge,絕對迴避,,無,10,
absolute_accuracy,絕對命中,,無,10,
reduce_dmg_floor,地面傷害減輕,,無,8,
reduce_dmg_meteor,隕石傷害減輕,,無,8,
reduce_player_epicenter,範圍傷害減輕,,無,8,
reduce_dmg_foe_epicenter,敵方周圍傷害減輕,,無,8,
reduce_dmg_bowling,貼地傷害減輕,,無,8,
reduce_dmg_bullet,子彈傷害減輕,,無,8,
reduce_dmg_straight_line,直線傷害減輕,,無,8,
reduce_dmg_charge,衝撞傷害減輕,,無,8,
reduce_explosion,爆炸減輕,,無,8,
reduce_gravity,吸引減輕,,無,8,
reduce_emission,放射減輕,,無,8,
atk_up_str,ATK提升 (STR),ATK提升(STR$v%),無,5,
atk_up_dex,ATK提升 (DEX),ATK提升(DEX$v%),無,5,
atk_up_int,ATK提升 (INT),ATK提升(INT$v%),無,5,
atk_up_agi,ATK提升 (AGI),ATK提升(AGI$v%),無,5,
atk_up_vit,ATK提升 (VIT),ATK提升(VIT$v%),無,5,
matk_up_str,MATK提升 (STR),MATK提升(STR$v%),無,5,
matk_up_dex,MATK提升 (DEX),MATK提升(DEX$v%),無,5,
matk_up_int,MATK提升 (INT),MATK提升(INT$v%),無,5,
matk_up_agi,MATK提升 (AGI),MATK提升(AGI$v%),無,5,
matk_up_vit,MATK提升 (VIT),MATK提升(VIT$v%),無,5,
atk_down_str,ATK下降 (STR),ATK下降(STR$v%),無,5,
atk_down_dex,ATK下降 (DEX),ATK下降(DEX$v%),無,5,
atk_down_int,ATK下降 (INT),ATK下降(INT$v%),無,5,
atk_down_agi,ATK下降 (AGI),ATK下降(AGI$v%),無,5,
atk_down_vit,ATK下降 (VIT),ATK下降(VIT$v%),無,5,
matk_down_str,MATK下降 (STR),MATK下降(STR$v%),無,5,
matk_down_dex,MATK下降 (DEX),MATK下降(DEX$v%),無,5,
matk_down_int,MATK下降 (INT),MATK下降(INT$v%),無,5,
matk_down_agi,MATK下降 (AGI),MATK下降(AGI$v%),無,5,
matk_down_vit,MATK下降 (VIT),MATK下降(VIT$v%),無,5,
invincible_aid_sec,無敵急救 (s),無敵急救 ($vs),無,10,
pet_exp,寵物獲得EXP,,無,10,
item_cooldown,道具冷卻,$t-$1d秒::$t+$1d秒,無,10,
skill_constant_extra,技能常數,$t$s$v,無,11,1
magic_crt_percentage,法術暴擊轉化率,$t$v$u,無,11,
magic_cd_percentage,法術暴傷轉化率,$t$v$u,無,11,
normal_attack_multiplier,普通攻擊倍率,$t$v$u,無,11,1
normal_attack_constant,普通攻擊常數,$t$s$v,無,11,1
gempowder_drop_add,晶石粉末掉落量,$t+$v$u,無,10,1
total_skill_multiplier,總技能倍率,,無,11,1
skill_multiplier_extra,技能倍率,,無,11,1
graze_penalty_mitigation,擦傷懲罰緩和,,1,11,1
magic_stronger_against_element,法術額外屬性傷害,,無,11,1
ailment_avoid,異常閃躲,,無,5,1
base_guard_power,阻擋性能基礎值,$t$s$v,無,5,dev
base_guard_regenerate,阻擋回復基礎值,$t$s$v,無,5,dev
base_evasion_regenerate,閃躲回復基礎值,$t$s$v,無,5,dev
,,,,,
dual_bringer_efficiency,雙重提供技能效率,$t$v$u,無,11,1
dual_bringer_penalty,雙重提供懲罰係數,$t$v$u,無,11,1
