,,3,進步的遺跡,18200000,,,,
,,4,意外的熟人,19200000,,,,
,,5,前線基地啟用,20300000,,拉比蘭斯木材#10,,
,,6,奪回樹上港口,21500000,,,,
,,7,遺產是轉移裝置,22700000,,,,
,,8,一心尋死的男人,23900000,,,,
,,9,艾路登波姆奪還戰,25000000,,,,
,,,深入中心,12500000,skip,,,
,,10,新的開始,13000000,,,,
10,失落的神之舟,1,向命運之地進發,26000000,,,,
,,2,山崖下的占領者,27400000,,,,
,,3,與噩夢重逢,28800000,,,,
,,4,消失僧侶的行蹤,30200000,,,,
,,5,勇敢女神與非法佔領之民,31600000,,,,
,,6,方舟掌舵人,33100000,,,,
,,,怪物清剿,0,skip,mob: 小怪#10,回復劑#?,
,,7,森林中的魔女,34600000,,,,
,,8,諾芙．蒂拉的決鬥,36200000,,,,
11,前往托蘭,1,方舟飛行,37800000,,,,
,,2,在未知的土地,49000000,,,,
,,3,林中散步,51000000,,折斷的角#20,,守護的樹林，任意>中or右>左
,,4,森之人尤馬諾,53400000,,,,
,,5,發芽者,55700000,,,,
,,6,帶來恩惠者,58100000,,,,
,,7,寇珥連生體要塞的激鬥,60500000,,,,
,,8,燃煙山中影,63000000,,,,
,,9,龍人與地底世界,65500000,,,,
12,龍人聖域,1,有屋頂的天空,73400000,,,,
,,2,相剋的龍與龍人,76300000,,,,
,,3,帶孩子的龍人夫妻,79300000,,,,
,,4,龍人聖域,82300000,,,,
,,5,推進機中的激戰,85300000,,,,
,,6,為了獲得新技術,44200000,,,,
,,7,修繕方舟,92700000,,"生長的礦石#5
傑巴力石材#5",,
,,8,龍人相爭,96000000,,,,
,,9,冰牆中的繭,99300000,,,,
13,水之民族、龍、寇珥連生體,1,住在水中的民族,112600000,,,,
,,2,水之穹頂,116500000,,,,
,,3,水中都市,60200000,,,,
,,4,廢棄區的潛伏者,125800000,,,,
,,5,來自深海的影子,129900000,,,,
,,6,冷酷無情的評議會,67000000,,,,
,,7,神殿中的秘密,139900000,,,,
,,8,水下決戰,144200000,,,,
14,托蘭本土,1,本土上空的危機,159100000,,,,
,,2,倖存的尤馬諾兄妹,164000000,,,,
,,3,被擾亂的戰況,168900000,,,,
,,4,苦澀的真相,173800000,,,,
,,5,粗野的拉納族王子,178800000,,,,
,,6,變異寇珥連生體村,183900000,,,,
,,7,與變異利古希族的激戰,189000000,,"滑膩的厚皮#20
扭曲糾纏的根蔓#10
梅納布拉木材#10",,
15,寇珥連生體的覺醒,1,方舟的危機,210500000,,,,
,,2,海岸攻防戰,216300000,,,,
,,3,烏恩達救出作戰,222200000,,,,
,,4,烏恩達歸來,228100000,,,,
,,5,少年與老樹,234000000,,沉濁肥料#10,,
,,6,利古西的集落,240000000,,,,
,,7,遙遠之日的幻影,246000000,,,,
,,8,其源流之姿，終將顯明重現,252100000,,,,
16,王龍的血脈,1,弗利多斯的思索,141700000,,,,
,,2,溪谷的風波,293700000,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
支線任務,,,,,,,,
NPC角色,,要求等級,任務名稱,經驗值,,其餘獎勵,,
雷帕吉,,170,荒原蠢動之物,,,游擊隊之書,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,610,,蘆荻翁獎章,,
