編號,托環名稱,取得關卡,等級上限,晶石粉末(同),晶石粉末(不同),類型/技能ID,屬性名稱,屬性值
4,真空刃．強化,"70,90,110,130,150",20,10,,0-0-6,,技能「真空刃」的技能倍率增加${Lv*2}。
5,風暴氣流．延長,"150,170,190,210,220",1,,,0-0-7,,技能「風暴氣流」的風刃氣旋，攻擊次數增加${Lv}次。
6,爆氣斬．回復,"150,170,190,210",10,30,,0-0-3,,技能「爆氣斬」失去最終一擊，但可回復${Lv*50}的HP。（無動作時間）
7,戰吼．克服,"170,190,210,220",1,,,0-0-12,,技能「戰吼」的發動不會受到畏懼的影響。
8,狂戰士之怒．抑制,"170,190,210,220",1,,,"0-0-13,0-0-3",,技能「狂戰士之怒」的習得技能每高一級，即會有10%的機率不會被解除 爆氣斬 狀態。
9,風暴烈焰．擋閃,250,1,,,0-0-21,,技能「風暴烈焰」動作期間追加阻擋判定，阻擋成功時MP回復效果變為2倍。
10,靈氣之刃．劍壓,250,8,125,,0-0-17,,當技能「靈氣之刃」的目標怪物超出射程時，釋放衝擊波(單體攻擊)給出${Lv*10}%的傷害
11,狂戰士之怒·猛進,270,5,,,0-0-13,,在「狂戰士之怒」效果中受到怪物傷害時，狂戰士之怒的負面效果減輕${Lv}%
12,月弧斬·吸魔,270,10,,,0-0-16,,所有的層數都會被消耗，並且會根據消耗層數回復mp
,,,,,,,,
shot-skills,,,,,,,,
1,威力射擊．強擊,"30,50,70,90,110,130",20,5,,0-1-0,,技能「威力射擊」成功造成翻覆時，技能倍率增加${Lv*15}。
2,渦輪射擊．強化,"30,50,70,90,110,130",20,5,,0-1-1,,技能「渦輪射擊」的技能倍率(每段)增加${Lv*5}。
3,箭雨．追擊,"70,90,110,130,150,220",2,100,,0-1-3,,技能「箭雨」的攻擊次數增加${Lv}次。
4,麻痺射擊．延長,"70,90,110,130,150",10,20,,0-1-6,,技能「麻痺射擊」的強化效果延長${Lv}秒。
5,煙霧彈．延長,"150,170,190,210",10,30,,0-1-7,,技能「煙霧彈」的強化效果延長${Lv}秒。
6,分身射手．壓縮,"170,190,210",10,40,,0-1-13,,技能「分身射手」的持續時間減半，而技能倍率增加${Lv*10}。
7,匿蹤．時限,250,1,,,0-1-10,,技能「匿蹤」的有效次數變更為秒數。
8,曲線炮·識別,270,1,,,0-1-18,,技能「曲線砲」將會僅命中戰斗中的怪物，且必定造成暴擊
,,,,,,,,
magic-skills,,,,,,,,
1,法術/飛箭．追擊,"30,50,70,90,110,130,220",4,25,,0-2-0,,技能「法術/飛箭」的攻擊次數增加${Lv}發。
2,法術/障壁．強化,"30,50,70,90,110,130",20,5,,0-2-5,,技能「法術/障壁」的技能倍率增加${Lv*5}。
3,法術/魔法槍．加速,"70,90,110,130,150,220",5,40,,0-2-2,,技能「法術/魔法槍」的發射間隔縮短${Lv*0.1}秒。
4,法術/引爆．加速,"70,90,110,130,150,220",5,40,,0-2-6,,技能「法術/引爆」的詠唱時間縮短${Lv*0.2}秒。
5,強射．變化,"70,90,110,130,150",10,20,,0-2-12,,"技能「強射」的射程延長效果消失，但一般攻擊的威力增加${Lv+1}%。
※增加値因應技能Lv而變動。"
6,靜默充填,"110,230",20,15,,0-2-10,,在沉默狀態下使用「魔力充填」技能，MP回復量増加${Lv*5}%。
7,法術/衝擊波．鬥氣,"220,250",1,,,0-2-3,,將技能「法術/衝擊波」的慣性類型變更為物理。
8,魔力灌充．切換,220,1,,,0-2-13,,使用此技能時，若不滿足詠唱時間縮短的條件，此技能自動變更為施展魔力充填。
9,變時神術．執念,230,5,200,,0-2-15,,"技能「變時神術」在MP不足時可消耗HP發動，不足MP每100點需要HP${60-Lv*10}%。
※HP消耗可能會導致體力不支倒地。"
10,法術/毀滅．流星,230,5,200,,0-2-17,,技能「法術/毀滅」的附加異常狀態以及隕石大小會大幅降低，但中彈時間縮短${0.1*(Lv-1)}秒，即使未命中，也會落下所有隕石。
11,法術/暴風．延長,250,5,,,0-2-7,,技能「法術/暴風」的技能倍率降低50%，但持續時間延長${Lv*1}秒。
,,,,,,,,
martial-skills,,,,,,,,
1,重擊．強化,"30,50,70,90,110,130",20,5,,0-3-0,,裝備拳套使用技能「重擊」時，技能倍率增加${Lv*5}。
2,音速波動．強化,"30,50,70,90,110,130",20,5,,0-3-5,,裝備拳套使用技能「音速波動」時，技能倍率增加${Lv*5}。
3,穿甲．強化,"70,90,110,130,150,220",5,40,,0-3-2,,技能「穿甲」附加降防的機率增加${Lv*5}。
4,震地強襲．強化,"70,90,110,130,150",10,20,,0-3-6,,裝備拳套使用技能「震地強襲」時，技能倍率增加${Lv*5}。
5,猛暴拳．貫穿,"150,170,190,210",10,30,,0-3-3,,裝備拳套使用技能「猛爆拳」時，追加物理貫穿${Lv*5}%。
,,,,,,,,
dual-sword-skills,,,,,,,,
1,雙弧斬．強化,"30,50,70,90,110,130",20,5,,0-4-1,,技能「雙弧斬」的暴擊傷害增加${Lv}%。
2,禦空破陣．強化,"30,50,70,90,110,130",20,5,,0-4-4,,技能「禦空破陣」的技能倍率增加${Lv*5}。
3,破空刃．壓縮,"70,90,110,130,150",10,20,,"0-4-2,0-4-14",,"技能「破空刃」的效果範圍減少,並失去逼退效果，但每段技能倍率增加${Lv*5}、
技能「破空刃斬」的主傷害技能倍率增加${Lv*20}。"
4,幻影劍．強化,"150,170,190,210",20,15,,0-4-3,,技能「幻影劍」 的技能倍率增加${Lv*5}。
5,猛爆斬．凝心,"70,90,110,130,150",10,,,0-4-5,,技能「猛爆斬」的技能倍率減弱${100-Lv*10}，但保證打出暴擊。
6,弧光劍舞．月影,230,5,200,,0-4-17,,在技能「弧光劍舞」發動時，產生的所有恨意-${15*Lv}%。但若自身已是敵人的攻擊目標，則不會發動。
7,月神災厄·強襲,270,10,100,,0-4-15,,當獲得「疾風收割」的增益效果時時，技能「月神災厄」從任何距離發動都會判定為近距離攻擊，發動後${15-Lv}秒內無法再次發動
8,雙破壞之刃·辟邪,270,3,333,3333,0-4-16,,技能「雙破壞之刃」將依據目標的減益效果數量（最多${Lv}種）而提升威力
,,,,,,,,
,,,,,,,,
halberd-skills,,,,,,,,
1,迅捷刺突．強化,"30,50,70,90,110,130",20,5,,0-5-0,,技能「迅捷刺突」的技能倍率增加${Lv*5}。
2,鴻鵠一擲．妨害,"30,50,70,90,110,130",10,10,,0-5-1,,技能「鴻鵠一擲」的第一擊有${Lv*10}%的機率造成異常狀態「膽怯」。
3,籠尾．強化,"70,90,110,130,150",20,10,,0-5-2,,技能「籠尾」第2發的技能倍率增加${Lv*5}。
4,逆境怒吼．敵意,"70,90,110,130,150",10,20,,0-5-12,,技能「逆境怒吼」產生的恨意値增加${Lv*30}。（民間單位，見#[仇恨值/恨意值]說明）
5,潛龍撼地．收束,"150,170,190,210,220",5,60,,0-5-3,,技能「潛龍撼地」變為單體攻擊，並使造成的#[閃光]抗性時間縮短${Lv*2}秒。（初始為40秒）
6,破壞矛．遠投,250,10,,,0-5-14,,技能「破壞矛」的技能倍率增加${Lv*10}，射程與威力衰減的起始距離延長，且固定為遠距離威力。
7,時空驅動·鐵芯,270,1,,,0-5-7,,將「時空驅動」的附加攻擊效果從魔法攻擊（基於INT）更改為物理攻擊（基於STR）
,,,,,,,,
mononofu-skills,,,,,,,,
1,一閃．強化,"30,50,70,90,110,130",20,5,,0-6-0,,技能「一閃」的第2發的技能倍率增加${Lv*5}。
2,刀柄打擊．妨害,"30,50,70,90,110,130,220",10,20,,0-6-6,,技能「刀柄打擊」給予的麻痺效果延長${Lv}秒。
3,三段突刺．不動,"70,90,110,130,150,220",1,,,0-6-2,,技能「三段突刺」不產生移動。
4,斷禍．除魔,"70,90,110,130,150,220",6,33,333,0-6-7,,技能「斷禍」的魔法傷害減輕效果增加${Lv*5}%。
5,明鏡止水．常套,"70,90,110,130,150,220",1,,,0-6-12,,技能「明鏡止水」狀態期間內施展的技能不再獲得暴擊率加成（仍會降低暴傷），但也不會消耗掉狀態。
6,三段突刺．迴避,220,10,40,,0-6-2,,三段突刺期間未受到任何傷害時，回復${Lv*10}MP。
7,不撓不屈．不敗,250,3,333,3333,0-6-18,,"技能「不撓不屈」的計數會快1秒，但受到傷害時計數會減少${12-Lv*3}。
但若使用Guard或者特定的武士技能防禦傷害，則不會減少。"
,,,,,,,remark,目前確認斷禍、斬釘截鐵、霞雪月花、彈刀等技能不會減少計數。
,,,,,,,,
crusher-skills,,,,,,,,
1,飛踢．迴避,220,1,,,0-7-4,,技能「飛踢」移動期間，獲得最多1秒的無敵狀態。
2,呼吸法．節省,220,1,,,0-7-3,,技能「呼吸法」的消費MP減少100。
,,,,,,,,
shield-skills,,,,,,,,
1,重盾擊．節約,"170,230",10,10,,1-1-1,,使用技能「重盾擊」致使對方昏厥時，可回復${Lv*10}MP。
2,防禦界限．魔法庇護,220,1,,,"1-1-6,1-1-7",,當技能「防禦界限」發動時，已習得之技能「魔法庇護」也會同時啟動。※反之亦然
,,,,,,,,
knight-skills,,,,,,,,
1,突擊．疾行,"190,250",10,10,,1-3-0,,刪除技能「突擊」的逼退與遲緩，技能倍率增加${Lv*10}。
2,憤怒的一擊．強化,"190,250",10,10,,1-3-5,,"技能「憤怒的一擊」的技能倍率增加${Lv*10}。<br>
當對方的恨意目標為自己時，給出的恨意值將變為兩倍。"
3,完善守備．靜音,210,10,,,1-3-2,,技能「完善守備」因成功抵擋傷害所產生的仇恨下降${10*LV}%。
4,繫影強襲．變化,"210,220",1,,,1-3-6,,刪除技能「繫影強襲」的停止效果，變更為#[昏厥]效果。
5,音速擠壓．直擊,230,1,,,1-3-8,,技能「音速擠壓」失去迅速效果，但同時獲得閃躲貫穿效果。
,,,,,,,,
hunter-skills,,,,,,,,
1,失靈陷阱獵手,"210,220",1,,,"1-4-4,1-4-5,1-4-6,1-4-7",,陷阱技能可設置在對象的腳下，但若及時啟動，自身也會受到效果影響。
,,,,,,,,
priest-skills,,,,,,,,
1,高貴治癒．擴大,"190,230",8,50,,1-5-3,,技能「高貴治癒」的有效範圍增加${Lv}m，但HP回復量減半。
2,神聖光輝．神罰,"210,250",10,40,,1-5-5,,技能「神聖光輝」命中時，有1%的機率會發動光屬性的法術/終結，終結的傷害等同技能等級${Lv}。
,,,,,,,remark,法術/終結發動時不消耗MP，亦無技能發動動作，僅有特效傷害顯示。
,,,,,,,remark,神聖之書與附魔之咒所造成的神聖光輝追擊，亦會觸發該效果。
,,,,,,,,
assasin-skills,,,,,,,,
1,暗影步伐．幻惑,"190,220",1,,,1-6-7,,技能「暗影步伐」的追擊不發生慣性。
2,暗殺突刺．強化,"210,230",10,20,,1-6-0,,"技能「暗殺突刺」的倍率提升${LV}%。
若是背刺的情況，命中率提升${LV*10}%。"
,,,,,,,,
wizard-skills,,,,,,,,
1,流星轟炸．單發,"170,220,230",1,,,1-7-3,,技能「流星轟炸」的隕石數量變為1個，也不附加異常狀態，但降落地點不再隨機。
2,使魔．戰友,"190,220,250",1,,,"1-7-0,1-7-7",,技能「使魔」的逃跑機率降低1%，高階使魔的行動時間快1秒。
3,魔力水晶．加速,"210,220",5,,,1-7-5,,技能「魔力水晶」的MP回復量下降100，但詠唱時間縮短${Lv*10}%。
,,,,,,,,
support-skills,,,,,,,,
1,異常抗體．回復,"170,190,210,220",5,40,,2-0-2,,技能「異常抗體」中追加HP回復效果，回復量相當於已習得治癒術治療量的${Lv*10}%。
2,癒合．節約,"170,190,210,220",1,,,2-0-4,,技能「癒合」MP消耗減少100。
3,癒合．儲備,"210,230",10,40,,"2-0-1,2-0-4",,"技能「治癒術」、「癒合」的HP回復量減半。
但每3秒可疊加一次增益，最多累積至${Lv}層。對隊友使用此技能時，可以消耗增益層數代替MP消耗。"
,,,,,,,remark,每使用1層數節約100MP，但使用癒合的場合，需累積至3層數一次節約300MP才會發動效果。
,,,,,,,remark,消耗層數發動的技能無須詠唱。
,,,,,,,remark,不影響縮短復活倒數時間的效果量。
battle-skills,,,,,,,,
1,強打．真髓,"170,190,210,220",5,60,,2-1-6,,技能「強打」的發動率增加${Lv}%。
2,專注．真髓,"170,190,210,220",5,60,,2-1-1,,技能「專注」的發動率增加${Lv}%。
3,追擊之真髓．強化,"170,190,210,220",1,,,2-1-9,,此技能效果觸發率每技能等級增加+1%。
,,,,,,,,
dark-power,,,,,,,,
1,血咬．強化,"170,190,210",10,10,,4-0-0,,技能「血咬」的技能倍率增加${Lv*10}。
2,惡魔狂爪．收束,"210,220,250",1,,,4-0-4,,技能「惡魔狂爪」的技能倍率下降100，但會變為單體攻擊。
,,,,,,,,
magic-blade,,,,,,,,
1,魔力共鳴．火力,"170,230",9,50,,4-1-2,,技能「魔力共鳴」的強化效果固定為火力類型，但增加量降低${95-Lv*5}%。
2,魔力共鳴．加速,"190,250",9,50,,4-1-2,,技能「魔力共鳴」的強化效果固定為速度類型，但增加量降低${95-Lv*5}%。
3,空靈閃焰．延長,"170,190,210,220",1,,,4-1-3,,延長技能「空靈閃焰」的增益效果時間，但攻擊時MP回復效果會降低。
4,魔力共鳴．專注,210,9,50,,4-1-2,,技能「魔力共鳴」的強化效果固定為專注類型，但增加量降低${95-Lv*5}%。
,,,,,,,,
barehand-skills,,,,,,,,
1,聚氣功．全力,"170,230",10,10,,4-4-1,,當未持有「聚氣功」的氣功纏繞狀態、並一次消費2000MP發動此技能時，可使氣功提升層數增加${Lv*10}%。
,,,,,,,,
minstrel-skills,,,,,,,,
1,吉他手,"210,220,250",6,,,"4-3-0,4-3-1,4-3-2,4-3-3,4-3-4",,"詩歌效果層數提升的間隔縮短${Lv}秒，但演奏期間所受傷害量及仇恨增加10%。
※無法適用於夢幻之歌。"
,,,,,,,,
dancer-skills,,,,,,,,
1,簡短舞步,"190,220",1,,,"4-2-0,4-2-1,4-2-2,4-2-3",,"舞者技能的效果時間縮短5秒。
※無法適用於應援之舞。"
,,,,,,,remark,也就是說，疊層間隔亦縮短5秒。
,,,,,,,,
ninja-skills,,,,,,,,
1,風魔手裏劍．強化,220,2,200,,5-2-9,,技能「風魔手裏劍」的MP消耗提升+${200/Lv}，作為交換，此技能威力提升次數+1。
2,火遁術．龍炎,"220,250",10,40,,"5-2-0,5-2-1",,技能「火遁術」的詠唱時間+1秒，該傷害之魔法貫穿+${Lv*2.5}。當發動的是「火遁．爆炎陣」時，效果翻倍。
3,風遁術．拔刀,230,10,40,,"5-2-4,5-2-5",,技能「風遁術」的魔法貫穿+${Lv*5}。當發動的是「風遁．劈甲」時，技能傷害追加拔刀屬性。
4,水遁術·水鏡,270,1,,,5-2-6,,技能「水遁術」由設置類技能變為增益類技能
