英文
Weapon
Mononofu Skills
Issen
Pulse Blade
Triple Thrust
Hasso Happa
Tenryu Ransei
Kasumisetsu Getsuka
Pommel Strike
Magadachi
Zantei Settetsu
Garyou Tensei
Shadowless Slash
Bushido
Shukuchi
Nukiuchi Sennosen
Two-Handed
Meikyo Shisui
Kairiki Ranshin
Dauntless
Bouncing Blade




Crusher Skills
Forefist Punch
Goliath Punch
God Hand
Divine Rigid Body
Breathwork
Floating Kick
Geyser Kick
Combination
Annihilator
Terrablast Unacquired
Sprite Skills
Resurrection
Micro Heal
Express Aid
Stabiliz
Auto-Device
Enhance Unacquired
CounterForce
Sprite Shield
Astral Lance
Magic Vulcan







Buff
Guard Skills
Heavy Armor
Advanced Guard
Physical Guard
Light Armor
Advanced Evasion
Mirage Evasion
Shield Skills
Shield Mastery
Shield Bash
Shield Cannon
Guard Strike
Force Shield
Magical Shield
Protection
Aegis
Guardian
Shirld Uppercut
Dual Shield
Shield Repair
Belagerung
Dagger Skills
Throwing Knife
Spike Dart
Gatling Knife
Amazing Throw
Poison Dagger
Double Throw
Hidden Arm
Intense Knife
Mail Breaker
Knife Combat
Flincher Knife
Knight Skills
Assault Attack
Parry
P. Defense
Fareth
Provoke
Rage Sword
Binding Strike
Knight Will
Sonic Thrust
Revenir
Knight's Stance
Knight's Remedy
Aftershield
Blink Sword
Knight Pledge
Hunter Skills
Kick
Sunrise Arrow
Magic Arrow
Satellite Arrow
Sleep Trap
Bear Trap
Land Mine
Dark Trap
Homing Shot
Detection
Cyclone Arrow
Vertical Air
Hunter Bowgun
Multiple Hunt
Focus
Camouflage
Hunter Knowledge
Priest Skills
Bless
Gloria
Enhanced Bless
Royal Heal
Holy Fist
Holy Light
Ether Barrier
Prayer
Staff Thrust
Exorcism
Holy Bible
Namesis
Sacred Teaching
Aspis Soul
Holy Grace
Assasin Skills
Assasin Stab
Backstep
Arcane Strike
Sicarius
Evasion
Serum
Foresight
Shadow Walk
Venom Injection
Corrosive Poison
Venom Thief
Death Reception
Secret Assassin
Assault Chase
Poison Master
Wizard Skills
Familia
Lightning
Blizzard
Meteor Strike
Imperial Ray
Mana Crystal
Stone Barrier
Advanced Familia
Cast Mastery
Crystal Laser
Overlimit
Sorcery Guide
Magic Research
Kitty's Treasure
Shift



Assist
Support Skills
First Aid
Mini Heal
Recovery
Sanctuary
Heal
Life Recovery
Brave Aura
High Cycle
Mana Recharge
Magic Barrier
Immunity
Quick Motion
Fast Reaction
Battle Skills
Magic UP
Concentrate
Desperate Resist
Increased Energy
Spell Burst
Attack UP
Whack
Critical UP
Intimidating Power
Secret Chase Attack
Defence UP
Dodge UP
Accuracy UP
Defense Mastery
Super Grip
Survival Skills
Play Dead
EXP Gain Up
Drop Rate Up
Safe Rest
HP Boost
Fighter's High
Short Rest
MP Boost
Sober Analysis
Produce
Smith Skills
Refine Equipment
Novice's Anvil
Craftman's Anvil
Blacksmith's  Anvil
Master's Anvil

Mid-Class Refinement
High-Class Refinement
Expert's Refinement
Create Equipment
Careful Creation
Expert's Creation
Customize Equipment
Accurate Customization
Expert's Customization
Expert's Customization II
Process Materials






Alchemy Skills
Item Synthesis 
Novice's Bottle 
Craftman's Bottle
Synthsist's Bottle
Master's Bottle
Master's Bottle II
Mid-Class Synthesis 
High-Class Synthesis 
Expert's Synthesis
Expert's Synthesis II
Process Materials
Synthesize Equipment 
Technical Synthesis I
Technical Synthesis II
Technical Synthesis III
Tamer Skills
Taming
Capture Technique I
Capture  Technique II
Skillful Capture
Careful Capture
Pet Heal
Pet MP Charge
Skill Book
Dark Power
Bloody Bite
Dark Stinger
Red Tear 
Soul Hunter
Sacrifice
Demon Claw
Regretless
Eternal Nightmare
Magic Blade
Magic Warrior Mastery
Conversion
Resonance
Enchanted Spell
Ether Flare
Element Slash
Enchant Sword
Enchanted Burst
Siphon Barrier
Teleport
Drain Recall
Float Dash
Dual Bringer
Union Sword
Magic Skin
Dancer Skills
Fairy Dance
Frenzy Dance
Astute Dance
Charming Dance
Spirited Dance
Elegant Poise
Nature's  Wonders 
Minstrel Skills
Healing Song
Fairy Song
Passion Song
Wisdom Song
Life Song
Fantasy Song
Ad-lib
Barehand Skills
Unarmed Mastery
Qi Charge 
Lion Rage
Raving Storm
Internal Elixir 
Ultima Lion Rage
Ultima Raving Storm
Clash of Enmity
Ultima Qi Charge 
Earthshaker
Miracle Comeback
Hidden Talent

Ninja Skills
Ninjutsu
Ninja Spirit
Ninjutsu Drill I
Ninjutsu Drill II
Partisan Skill
L Boomerang
L Boomerang II
L Boomerang III
N Dragon Tooth
Healing Shot
Arrow Sharpening
Survival Instinct
Frontliner
Frontliner II
Necromancer Skill
Grave Digger
Phatom Missile
Blood Siphon
Soul Stream
Skeleton Call
Demonic Pact
Fine Shovel
Harvest
Opportunist
Tomb
Skull Shaker
Hazard Strike











Other
Event Skills
Explosion
Light of Saber
Morning star
Dragslave



Pet Skills
Raging Blow
HP Gain
Absorb MP
Hide
Magic Lance
Critical Up
Heavy Blow
Stealth Attack
Magic Shot
Blast Flare
Circle of Heal
Encourage
First Aid (Pet)
Clear Mind
Restore Health
Sweep Attack
Clean Hit
Rage Attack
Blinding Shadow
Resistance Up
Stun Attack
Cover
Absorb HP
MP Gain
Shield Break
Ninjutsu
Fire Release
Blazing Explosion
Thunder Release
Lightning Flash
Wind Release
Skull Break
Water Release
Rapid Aqua Vortex
Earth Release
Cloning
Demon Wind Shuriken
Kunai Throw
