id,名稱,顯示公式,連結/條件式,選項,基本公式/條件公式,數值範圍,隱藏選項,文字說明
,,,#,"""裝備能力""",$matk_up_str+$matk_up_dex+$matk_up_int+$matk_up_agi+$matk_up_vit-$matk_down_str-$matk_down_dex-$matk_down_int-$matk_down_agi-$matk_down_vit,,,
,,,@sub.knuckle,#mvalue,-15,,,
,,,@1h_sword,"""INT×3+DEX×1""",$dex+3*$int,,,
,,,@1h_sword,"""轉化技能效果，額外INT加成""",$int*@skill.Conversion/10,,,
,,,@1h_sword,"#cvalue, ""武器攻擊力轉化""",$weapon_atk*@skill.Conversion*@skill.Conversion/100,,,
,,,@2h_sword,"""INT×3+DEX×1""",$dex+3*$int,,,
,,,@2h_sword,"#cvalue, ""武器攻擊力轉化""",$weapon_atk*@skill.Conversion*@skill.Conversion/100,,,
,,,@2h_sword,"""轉化技能效果，額外INT加成""",$int*@skill.Conversion/10,,,
,,,@bow,"""INT×3+DEX×1""",$dex+3*$int,,,
,,,@bowgun,"""INT×3+DEX×1""",$dex+3*$int,,,
,,,@bowgun,"#cvalue, ""武器攻擊力轉化""",$weapon_atk*@skill.Conversion*@skill.Conversion/100,,,
,,,@bowgun,"""轉化技能效果，額外INT加成""",$int*@skill.Conversion/10,,,
,,,@staff,"""INT×4+DEX×1""",$dex+4*$int,,,
,,,@staff,"""武器攻擊力""",$weapon_atk,,,
,,,@magic_device,"""INT×4+DEX×1""",$dex+4*$int,,,
,,,@magic_device,"""武器攻擊力""",$weapon_atk,,,
,,,@knuckle,"""INT×4+DEX×1""",$dex+4*$int,,,
,,,@knuckle,"#cvalue, ""武器攻擊力轉化""",$weapon_atk*@skill.Conversion*@skill.Conversion/200,,,
,,,@knuckle,"""武器攻擊力""",$weapon_atk*0.5,,,
,,,@dual_sword,"""INT×3+DEX×1""",$dex+3*$int,,,
,,,@dual_sword,"#cvalue, ""武器攻擊力轉化""",$weapon_atk*@skill.Conversion*@skill.Conversion/100,,,
,,,@dual_sword,"""轉化技能效果，額外INT加成""",$int*@skill.Conversion/10,,,
,,,@halberd,"""INT×2+DEX+AGI""",$dex+2*$int+$agi,,,
,,,,,,,,
,,,@katana,"""INT×1.5+DEX×1""",$dex+1.5*$int,,,
,,,@main.none,"""INT×3+DEX×1""",$dex+3*$int+1,,,
,,,#,"""角色等級""",@clv,,,
,,,@sub.magic_device,"#cvalue, ""雙重提供""","Math.max(Math.min(Math.max(0,$atk_0-$matk_0)*stat('dual_bringer_efficiency'),1)*(($atk_0-$matk_0)*stat('dual_bringer_efficiency')*stat('dual_bringer_penalty')/10000-$matk_0*(1-stat('dual_bringer_penalty')/100)),0)",,,
matk_0,計算用MATK,,matk,,,,永久,魔劍matk計算用
,,,#,"""裝備能力""",$matk_up_str+$matk_up_dex+$matk_up_int+$matk_up_agi+$matk_up_vit-$matk_down_str-$matk_down_dex-$matk_down_int-$matk_down_agi-$matk_down_vit,,,
,,,@sub.knuckle,#mvalue,-15,,,
,,,@1h_sword,"""INT×3+DEX×1""",$dex+3*$int,,,
,,,@1h_sword,"#cvalue, ""武器攻擊力轉化""",$weapon_atk*@skill.Conversion*@skill.Conversion/100,,,
,,,@bowgun,"""INT×3+DEX×1""",$dex+3*$int,,,
,,,@bowgun,"#cvalue, ""武器攻擊力轉化""",$weapon_atk*@skill.Conversion*@skill.Conversion/100,,,
,,,@staff,"""INT×4+DEX×1""",$dex+4*$int,,,
,,,@staff,"""武器攻擊力""",$weapon_atk,,,
,,,@knuckle,"""INT×4+DEX×1""",$dex+4*$int,,,
,,,@knuckle,"#cvalue, ""武器攻擊力轉化""",$weapon_atk*@skill.Conversion*@skill.Conversion/200,,,
,,,@knuckle,"""武器攻擊力""",$weapon_atk*0.5,,,
,,,@main.none,"""INT×3+DEX×1""",$dex+3*$int+1,,,
,,,#,"""角色等級""",@clv,,,
thunder_matk,雷槍MATK,,matk,,,,計算結果為0時,斧槍技能專用的基礎MATK，只有點了相關技能時才會顯示。
,,,#,"""INT×4+DEX×1+AGI×1""",$int*4+$dex+$agi,,,
,,,#,"""角色等級""",@clv,,,
,,,#,"""武器攻擊力""",$weapon_atk*5/8,,,
,,,#,#tvalue,"Math.min(getSkillLevel('0-5-19')+getSkillLevel('0-5-15'),1)*100-100",,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
magic_pierce,魔法貫穿,%,magic_pierce,,#cvalue,~100,變數值為0時,可無視對手一定比例的MDEF，數值為負時將增加對手防禦。
magic_stability,魔法穩定率,%,stability_magic,,50,1~,,最終魔法傷害將在（魔穩浮動下限%~魔穩浮動上限%）之間，以1%為間距浮動。但當此項超過100%時，浮動上限雖不再增加，卻會提升打出上限值的機率。
,,,#,"""物理穩定率÷2""",$stability/2,,,
magic_random_min,魔穩浮動下限,%,,,$magic_stability,~90,,因穩定造成魔法傷害浮動時，傷害可能獲得的倍率修正最小值，此項最大為90%。
,,,,,,,,
magic_expect_value,魔穩浮動上限,%,stability_magic,,,100~110,,因穩定造成魔法傷害浮動時，傷害可能獲得的倍率修正最大值，基礎為100%。當魔法穩定率達到90%後，每超出1%將使此數值提升1%，最大為110%或120%。
,,,#,"""魔法穩定率溢出""","Math.floor(Math.max(0,$stability+#cvalue*2-80)/2)",,,
,,,#,"""基礎值""",100,,,
magic_expect_value,魔穩期望值,%,,,0,,計算結果為0時,尚未實作。
,,,,,,,,
,,,,,,,,
magic_crt,魔法暴擊率,,magic_crt_percentage,,$critical_rate,0~,變數值為0時,發生魔法暴擊的機率。超過100%的部分可抵消部分BOSS的抗暴擊能力。
,,,#,"#mul, ""法術暴擊轉化率""","Math.min(1,#cvalue/100)",,,
magic_crt_neutral,無屬性魔法暴擊率,,magic_crt_percentage,,$critical_rate,0~,計算結果為0時,僅限主手法杖，使用無屬性的魔法攻擊時，可獲得更高的魔法暴擊率。
,,,@staff,"#mul, ""法術暴擊轉化率""","Math.min(1,#cvalue/100)+0.25",,,
,,,@1h_sword,#mul,0,,,
,,,@2h_sword,#mul,0,,,
,,,@bow,#mul,0,,,
,,,@bowgun,#mul,0,,,
,,,@magic_device,#mul,0,,,
,,,@knuckle,#mul,0,,,
,,,@dual_sword,#mul,0,,,
,,,@halberd,#mul,0,,,
,,,@katana,#mul,0,,,
,,,@main.none,#mul,0,,,
magic_crt_damage,魔法暴擊傷害,%,magic_cd_percentage,,"100+($critical_damage-100)*(Math.min(100,#cvalue)+50)/100",0~,變數值為0時,發生魔法暴擊時的傷害倍率。
0,防禦,,,,,,,
def,DEF,,def,,,,,DEF越高，受到物理傷害時的損傷越輕。
,,,#,"""裝備防禦""",@armor.def+@additional.def+@special.def+@shield.def,,,
,,,@armor.normal,"""角色等級×1+VIT×1""",Math.floor(@clv+$vit),,,
,,,@armor.defense,"""角色等級×1.2+VIT×2""",Math.floor($vit*2+@clv*1.2),,,
,,,@armor.dodge,"""角色等級×0.8+VIT÷4""",Math.floor($vit*0.25+@clv*0.8),,,
,,,@armor.none,"""角色等級×0.4+VIT÷10""",Math.floor($vit*0.1+@clv*0.4),,,
,,,@sub.arrow,#mvalue,-25,,,
mdef,MDEF,,mdef,,,,,MDEF越高，受到魔法傷害時的損傷越輕。
,,,#,"""裝備防禦""",@armor.def+@additional.def+@special.def+@shield.def,,,
,,,@armor.normal,"""角色等級×1+INT×1""",Math.floor(@clv+$int),,,
,,,@armor.defense,"""角色等級×1.2+INT×2""",Math.floor($int*2+@clv*1.2),,,
,,,@armor.dodge,"""角色等級×0.8+INT÷4""",Math.floor($int*0.25+@clv*0.8),,,
,,,@armor.none,"""角色等級×0.4+INT÷10""",Math.floor($int*0.1+@clv*0.4),,,
,,,@sub.arrow,#mvalue,-25,,,
physical_resistance,物理抗性,%,physical_resistance,,#cvalue,,,物理抗性越高，受到物理傷害時的損傷越輕。物理抗性若超過50%，計算減傷時需先將數值以每50%為單位拆分，再全部相乘。
magic_resistance,魔法抗性,%,magic_resistance,,#cvalue,,,魔法抗性越高，受到魔法傷害時的損傷越輕。魔法抗性若超過50%，計算減傷時需先將數值以每50%為單位拆分，再全部相乘。
reduce_dmg_physical,受到物理傷害,$.2v%,,,100,0~,,計算DEF、裝備精鍊、與物理抗性作用下，所收到物理傷害的比率（此處顯示到小數後二位，實際精度未知）。注意仍有其他減傷能力會作用，因此並非最終減傷值。
,,,#,"#mul, ""物理抗性""",(100-reduceValue($physical_resistance))/100,,,
,,,#,"#mul, ""精煉值""",(100-@armor.refining-@additional.refining-@shield.refining)/100,,,
,,,#,"#mul, ""DEF""","(100-Math.floor(Math.min(20,$def*0.08)+Math.max(0,Math.min(10,($def-250)*0.01))+Math.max(0,($def-1250)*0.003)))/100",,,
reduce_dmg_magic,受到魔法傷害,$.2v%,,,100,0~,,計算MDEF、裝備精鍊、與魔法抗性作用下，所收到魔法傷害的比率（此處顯示到小數後二位，實際精度未知）。注意仍有其他減傷能力會作用，因此並非最終減傷值。
,,,#,"#mul, ""魔法抗性""",(100-reduceValue($magic_resistance))/100,,,
,,,#,"#mul, ""精煉值""",(100-@armor.refining-@additional.refining-@shield.refining)/100,,,
,,,#,"#mul, ""MDEF""","(100-Math.floor(Math.min(20,$mdef*0.08)+Math.max(0,Math.min(10,($mdef-250)*0.01))+Math.max(0,($mdef-1250)*0.003)))/100",,,
reduce_dmg_percentage,受到百分比傷害,%,,,100-@armor.refining-@additional.refining-@shield.refining,,,計算裝備精鍊作用下，所收到百分比傷害的比率。注意仍有其他減傷能力會作用，因此並非最終減傷值。
,,,@armor.defense,#cvalue,-@armor.refining,,,
base_guard_power,基礎阻擋性能,,base_guard_power,,,0~10000,永久,基礎阻擋力不可超過10000
,,,@armor.defense,#cvalue,5000,,,
,,,@2h_sword,#cvalue,5000,,,
,,,@halberd,#cvalue,2500,,,
,,,@sub.shield,#cvalue,7500,,,
guard_power,阻擋性能,,guard_power,,#base*(1+#cvalue/100),0~,計算結果為0時,影響阻擋可輕減的傷害量與減傷幅度。阻擋性能越高，進行阻擋時減免的傷害就越多；受到攻擊時，阻擋性能會根據傷害與HP的比例而降低。
,,,#,"""基礎阻擋性能""",$base_guard_power,,,
,,,,,,,,
guard_regenerate,阻擋回復,點/每秒,guard_regenerate,,#base*(1+#cvalue/100),0~,計算結果為0時,阻擋性能的回復速度，遊戲中會將此值除以阻擋性能，以「% /s」為單位顯示。
,,,@armor.defense,,25,,,
,,,@2h_sword,,50,,,
,,,@halberd,,25,,,
,,,@sub.shield,,75,,,
,,,#,"""技能加成""","stat(""base_guard_regenerate"")",,,
evasion_number,閃躲次數,,evasion_count,,,0~,計算結果為0時,閃躲次數的上限。閃躲可進行短距離的快速移動以脫離攻擊範圍，且若抓準時機使用可將單體攻擊無效化。閃躲次數會逐漸回復。
,,,@armor.dodge,,6,,,
,,,@sub.dagger,,4,,,
,,,@magic_device || @sub.magic_device,,8,,,
,,,@knuckle || @sub.knuckle,,2,,,
,,,@dual_sword,,2,,,
evasion_regenerate,閃躲回復,$.2v次/每秒,evasion_regenerate,,#base*(100+#cvalue)/100,0~1,計算結果為0時,閃躲次數的回復速度，遊戲內會將此處的計算結果做倒數，以（X秒/回復一次）為單位顯示。當1秒內連續使用閃躲後，閃躲回復數值會下降至最低1(即10秒/次)，可藉由消費MP及普通攻擊回復至原數值。詳細下降規則未知。
,,,@armor.dodge,,0.2,,,
,,,@sub.dagger,,0.3,,,
,,,@magic_device || @sub.magic_device,,0.1,,,
,,,@knuckle || @sub.knuckle,,0.4,,,
,,,@dual_sword,,0.1,,,
,,,#,"""技能加成""","stat(""base_evasion_regenerate"")",,,
ailment_resistance,異常抗性,%,ailment_resistance,,@men/3.4,~100,計算結果為0時,能使異常狀態無效化的機率，對於紅字異常無效。
0,命中、迴避、速度,,,,,,,
accuracy,命中,,accuracy,,,,,命中目標的能力，影響攻擊時MISS、擦傷的機率。魔法傷害將無視此數值，必定命中目標。
,,,#,"""角色等級""",@clv,,,
,,,#,"""DEX提供""",$dex,,,
,,,@dual_sword,#mvalue,-55,,,
dodge,迴避,,dodge,,,,,迴避傷害的能力，影響被攻擊時發生MISS的機率。魔法傷害無法被迴避。
,,,@armor.normal,"""角色等級×1+AGI×1""",Math.floor($agi+@clv),,,
,,,@armor.dodge,"""角色等級×1.25+AGI×1.75+30""",Math.floor(30+$agi*1.75+@clv*1.25),,,
,,,@armor.defense,"""角色等級×0.5+AGI×0.75-15""",Math.floor(-15+$agi*0.75+@clv*0.5),,,
,,,@armor.none,"""角色等級×1.5+AGI×2+75""",Math.floor(75+$agi*2+@clv*1.5),,,
absolute_accuracy,絕對命中,%,absolute_accuracy,,,0~,變數值為0時,無視雙方迴避與命中的差距，攻擊時必定使之命中的機率（判定為HIT或Critical）。但無法阻止閃躲的發生。
absolute_dodge,絕對迴避,%,absolute_dodge,,,0~,變數值為0時,無視雙方迴避與命中的差距，被攻擊時必定使之MISS的機率。
aspd,攻擊速度,,aspd,,,,,提升攻擊速度，可縮短普通攻擊冷卻時間，達到1100後普通攻擊將沒有間隔。超過1000後會增加行動速度。
,,,@sub.shield,#mvalue,-50,,,
,,,@armor.defense,#mvalue,-50,,,
,,,@armor.dodge,#mvalue,50,,,
,,,#,"""角色等級""",@clv,,,
,,,@1h_sword,"""100+AGI×4.2+STR×0.2""",100+$agi*4.2+$str*0.2,,,
,,,@2h_sword,"""50+AGI×2.1+STR×0.2""",50+$agi*2.1+$str*0.2,,,
,,,@bow,"""75+AGI×3.1+DEX×0.2""",75+$agi*3.1+$dex*0.2,,,
,,,@bowgun,"""30+AGI×2.2+DEX×0.2""",30+$agi*2.2+$dex*0.2,,,
,,,@staff,"""60+AGI×1.8+INT×0.2""",60+$agi*1.8+$int*0.2,,,
,,,@magic_device,"""90+AGI×4+INT×0.2""",90+$agi*4+$int*0.2,,,
,,,@knuckle,"""120+AGI×4.6+DEX×0.1+STR×0.1""",120+$agi*4.6+$dex*0.1+$str*0.1,,,
,,,@dual_sword,"""100+AGI×4.2+STR×0.2""",100+$agi*4.2+$str*0.2,,,
,,,@halberd,"""25+AGI×3.5+STR×0.2""",25+$agi*3.5+$str*0.2,,,
,,,@katana,"""200+AGI×3.9+STR×0.3""",200+$agi*3.9+$str*0.3,,,
,,,@main.none,"""1000+AGI×9.6""",1000+$agi*9.6,,,
cspd,詠唱速度,,cspd,,,,,提升詠唱速度，可縮短蓄力與詠唱時間，對部分技能無效。
,,,#,"""角色等級""",@clv,,,
,,,#,"""DEX×2.94+AGI×1.16""",Math.floor($agi*1.16+$dex*2.94),,,
motion_time,動作時間,%,motion_speed,,100-#cvalue,50~100,,進行行動（技能、普通攻擊等）的花費時間，例如50%表示只需一半時間即完成動作，對部分技能無效。另外，此項能力與角色的移動速度沒有任何關係。
,,,#,"""攻擊速度轉化""","-Math.max(0,Math.floor(($aspd-1000)/180))",,,
cast_time,詠唱時間,%,,,100-#cvalue,0~,,蓄力與詠唱時間的最終倍率，對部分技能無效。
,,,#,"""詠唱速度轉化""","-Math.floor(Math.min(50,$cspd/20)+Math.max(0,($cspd-1000)/180))",,,
0,傷害修正項目,,,,,,,
unsheathe_attack_multiplier,拔刀攻擊倍率,%,unsheathe_attack_multiplier,,100+#cvalue,,,發生拔刀攻擊時，攻擊傷害將乘上此倍率。
unsheathe_attack,拔刀攻擊常數,,unsheathe_attack,,,,變數值為0時,發生拔刀攻擊時，在傷害常數部分得到的加成。
short_range_damage,近距離威力,%,short_range_damage,,100+#cvalue,0~,,在近距離（0~8米未滿）攻擊時，攻擊傷害將乘上此倍率。
long_range_damage,遠距離威力,%,long_range_damage,,100+#cvalue,0~,,在遠距離（8米以上）攻擊時，攻擊傷害將乘上此倍率。
total_multiplier,傷害倍率,%,,,100,0~,,用以快速確認當前配置下，所有倍率項的最高效益。計算公式為：「暴擊傷害（計入機率）×近/遠距離威力×拔刀攻擊倍率×對屬性增傷×穩定率期望」，其中近/遠距離威力與屬性增傷將取最高加成者、拔刀倍率高於50%時納入計算公式、角色的MATK大於ATK時，暴擊率、暴擊傷害與穩定率應用魔法計算公式。
,,,#,"#mul, ""暴擊傷害（計入機率）""","Math.max(Math.min(1,($atk-$matk))*($critical_damage/100-1)*Math.min(100,$critical_rate)/100+1,Math.min(1,($matk-$atk))*($magic_crt_damage/100-1)*Math.min(100,$magic_crt)/100+1)",,,
,,,#,"#mul, ""距離威力""","Math.max($short_range_damage,$long_range_damage)/100",,,
,,,#,"#mul, ""拔刀攻擊倍率""","($unsheathe_attack_multiplier-($unsheathe_attack_multiplier-100)*Math.max(0,Math.min(1,150-$unsheathe_attack_multiplier)))/100",,,
,,,@1h_sword,"#mul, ""屬性增傷""","Math.max($stronger_against_neutral,$stronger_against_fire,$stronger_against_water,$stronger_against_earth,$stronger_against_wind,$stronger_against_light,$stronger_against_dark)/100+Math.max(0,Math.min(1,$matk-$atk))*$magic_element_against_damage/100",,,
,,,@2h_sword,"#mul, ""屬性增傷""","Math.max($stronger_against_neutral,$stronger_against_fire,$stronger_against_water,$stronger_against_earth,$stronger_against_wind,$stronger_against_light,$stronger_against_dark)/100+Math.max(0,Math.min(1,$matk-$atk))*$magic_element_against_damage/100",,,
,,,@bow,"#mul, ""屬性增傷""","Math.max($stronger_against_neutral,$stronger_against_fire,$stronger_against_water,$stronger_against_earth,$stronger_against_wind,$stronger_against_light,$stronger_against_dark)/100+Math.max(0,Math.min(1,$matk-$atk))*$magic_element_against_damage/100",,,
,,,@bowgun,"#mul, ""屬性增傷""","Math.max($stronger_against_neutral,$stronger_against_fire,$stronger_against_water,$stronger_against_earth,$stronger_against_wind,$stronger_against_light,$stronger_against_dark)/100+Math.max(0,Math.min(1,$matk-$atk))*$magic_element_against_damage/100",,,
,,,@knuckle,"#mul, ""屬性增傷""","Math.max($stronger_against_neutral,$stronger_against_fire,$stronger_against_water,$stronger_against_earth,$stronger_against_wind,$stronger_against_light,$stronger_against_dark)/100+Math.max(0,Math.min(1,$matk-$atk))*$magic_element_against_damage/100",,,
,,,@dual_sword,"#mul, ""屬性增傷""","Math.max($stronger_against_neutral,$stronger_against_fire,$stronger_against_water,$stronger_against_earth,$stronger_against_wind,$stronger_against_light,$stronger_against_dark)/100+Math.max(0,Math.min(1,$matk-$atk))*$magic_element_against_damage/100",,,
