分類,編號,前置技能,技能樹順序
,3,2,5
,5,0,6
,6,5,7
,7,6,8
,16,7,9
,8,5,10
,9,-,14
,10,9,15
,17,10,16
,11,-,17
,12,11,18
,13,12,19
,18,13,20
,14,-,21
,19,8,11
,20,19,12
,21,20,13
1,6,,SR H SR H SR H SR DRB SR H S L E7 V L SR H3 SR H S DR SR H S L2 SR DRB H4 SR H3 S L E V L E DR SR H SRB H3 SR H S L E4 V L E4 SR H SR H SR H S L2 E6 S
,0,-,0
,1,0,1
,2,1,2
,3,2,3
,5,3,4
,15,5,5
,6,-,6
,7,6,7
,8,7,8
,4,3,9
,16,4,10
,9,-,11
,10,9,12
,17,10,13
,11,9,14
,12,11,15
,13,12,16
,18,13,17
,14,-,22
,19,12,18
,20,19,19
,21,20,20
,22,21,21
1,7,,SR H SR H SR H S L2 SR DRB SR H3 S L E V L E DR SR H SR H S
,0,-,0
,1,0,1
,2,1,2
,7,2,3
,3,-,4
,4,3,5
,9,4,6
,5,3,7
,6,5,8
,8,6,9
1,8,,E5 DRB S L E3 DRB SR D L E DRB SR DB E DRB SR H S L SR DB E DR SR DB L E DR SR DB E DR S L E3 DR SR DB L E5 DR SR H S L L SR H SR H SR H SR H S L
,0,1,0
,1,2,1
,2,4,2
,3,5,3
,4,-,5
,5,2,6
,6,4,7
,7,5,8
,8,6,9
,9,8,10
,10,3,4
,11,9,11
,12,-,12
,13,12,13
,14,13,14
,15,14,15
,16,15,16
0,1,,
1,0,,DRB H3 S L SR H S L2 SRB H S L DR H3 S
,0,-,1
,1,0,2
,2,0,0
,3,-,3
,4,3,4
,5,3,5
1,1,,E DRB SR H SR H S L E V L SR DRB SR H S L E V L E DR SR H SR H SR H S L2 SR H SR H3 S
,0,-,3
,1,0,0
,2,1,1
,3,2,2
,4,0,4
,5,4,5
,6,-,10
,7,6,11
,8,7,12
,9,0,6
,10,9,7
,11,10,8
,12,11,9
1,2,,E DRB SR H SR H S L SR DB L E DR SR H S L2 SR H SR DRB H2 S L E3 V L E3 DR SR H S
,0,-,3
,1,0,0
,2,1,1
,3,2,2
,4,0,4
,5,4,5
,6,-,6
,7,6,7
,8,7,8
,9,7,9
,10,9,10
1,3,,SR H SR H SR H SR H S L2 SR H SRB H SR H SR H S L E2 V L E2 SR H S L SR H5 SR H S
,0,-,0
,1,0,1
,2,1,2
,3,2,3
,4,-,5
,5,4,6
,6,5,7
,7,6,8
,8,5,10
,9,8,11
,10,-,12
,11,10,13
,12,3,4
,13,7,9
,14,11,14
1,4,,SR H SR H SR H SR H S L2 SR H SR H SR H SR H S L2 E3 DRB SR H S L SR H SR DB L E3 DR SR H SR H S
,0,-,0
,1,0,1
,2,1,2
,3,2,3
,4,-,5
,5,4,6
,6,5,7
,7,6,8
,8,-,12
,9,8,13
,10,9,10
,11,10,11
,12,9,14
,13,12,15
,14,3,4
,15,7,9
,16,13,16
1,5,,SR H SR H SR H SR H S L2 SR H SRB H SR H SR H S L E2 V L S E SR H SR H SR H S
,0,-,0
,1,0,1
,2,1,2
,3,2,3
,4,-,5
,5,4,6
,6,5,7
,7,6,8
,8,-,10
,9,5,11
,10,9,12
,11,10,13
,12,3,4
,13,7,9
,14,11,14
1,6,,E2 DRB H3 S L SR H SR H SR H3 S L2 SR H SR H SR H SR H S L2 SR H SR H SR H SR H S
,0,-,1
,1,0,2
,2,1,3
,3,1,0
,4,-,5
,5,4,6
,6,5,7
,7,6,8
,8,-,10
,9,8,11
,10,9,12
,11,10,13
,12,2,4
,13,7,9
,14,11,14
1,7,,DRB H3 S L V L SRB H3 SR H SR H SR H S L V L DR H SR DRB H2 SR H SR H S L E3 V L S E2 DR SR H SR H SR H S
,0,-,1
,1,0,0
,2,0,2
,3,2,3
,4,3,4
,5,0,6
,6,5,7
,7,6,8
,8,-,10
,9,5,11
,10,9,12
,11,10,13
,12,4,5
,13,7,9
,14,11,14
,,,
,,,
,,,
0,2,,
1,0,,E2 SR H SR H SR H S L S L E2 SR H SR H SR H S L2 E2 SR H SR H SR H S
,0,-,4
,1,-,0
,2,1,1
,3,2,2
,4,3,3
,5,-,5
,6,5,6
,7,6,7
,9,-,9
,10,9,10
,11,10,11
,8,7,8
,12,11,12
1,1,,SR H SR H SR H SR H S L2 SR H SR H SR H SR H S L2 SR H SR H SR H SR H S
,0,-,0
,1,0,1
,2,1,2
,3,2,3
,4,3,4
,5,-,5
,6,5,6
,7,6,7
,8,7,8
,9,8,9
,10,-,10
,11,10,11
,12,11,12
,13,12,13
,14,13,14
1,2,,E3 DRB S L S E2 V L E2 SR DR S L S L E2 SR DRB S L S E2 V L E3 DR S
,0,-,1
,1,-,4
,2,-,7
,3,-,2
,4,3,0
,5,3,3
,6,-,5
,7,6,6
,8,6,8
0,3,,
1,0,,E DRB SR H SR H SR H SR H S E S L E V L SR DRB H H SR H SR H S E3 S L E V L E H SR DRB SR H3 S E3 S L E3 V L S E2 DR SR H SR H SR H S E S L2 E12 S L2 E12 S
,0,-,6
,1,0,0
,2,1,1
,3,2,2
,11,3,3
,15,11,4
,4,0,7
,5,4,8
,12,5,9
,6,0,11
,7,6,12
,13,7,13
,8,6,16
,9,8,17
,14,9,18
,16,14,19
,10,-,15
,17,-,5
,18,-,10
,19,-,14
,20,-,20
,21,-,21
,22,-,22
1,1,,E DRB SR H SR H SR H SR H S L E V L SR DRB H2 SR H SR H SR H S L E V L S DR H2 SR H SR H SR H S
,0,-,5
,1,0,0
,2,1,1
,3,2,2
,9,3,3
,12,9,4
,4,0,6
,5,4,7
,10,5,8
,13,10,9
,6,-,10
,7,0,11
,8,7,12
,11,8,13
,14,11,14
1,2,,SR DBR SR H S L E V L E DBR SR H S L E V L E DR SR H S
,0,-,0
,1,0,1
,2,1,2
,3,0,3
,4,3,4
,5,0,5
,6,5,6
0,4,,
1,0,,SR H SR H SR H S L2 SR H SR H SR H S
,0,-,0
,1,0,1
,2,1,2
,6,2,3
,3,-,4
,4,3,5
,5,4,6
,7,5,7
1,1,,SR H SR H SR H SR H S L2 SR H SR H SR H SR H S L2 SR H SR H SR H SR H S
,0,-,0
,1,0,1
,2,1,2
,6,2,3
,3,-,5
,4,3,6
,5,4,7
,7,5,8
,8,-,10
,9,8,11
,10,9,12
,11,10,13
,12,6,4
,13,7,9
,14,11,14
1,2,,SR DRB SR H SR H S L E V L E DR S L E4 SR H S
,0,-,0
,1,0,1
,2,1,2
,3,2,3
,4,0,4
,5,-,5
,6,5,6
1,3,,E3 DRB H2 S L E3 V L SR DRB SR DR H2 S L E V L E DR SR H S L2 E4 S
,0,-,1
,1,0,2
,2,1,0
,3,1,3
,4,0,4
,5,4,5
,6,-,6
1,4,,S DRB SR H S L E V E4 S L SRB DRB SR H S L V V L V DR SR H SR H S L V L DR H3 SR H S
,0,-,0
,1,-,4
,2,1,1
,3,1,5
,4,1,7
,5,2,2
,6,3,6
,7,4,8
,8,1,10
,9,-,3
,10,7,9
,11,8,11
,,,
1,5,,SR DRB S L E V L E DR H2 SR H S
,0,-,0
,1,0,1
,2,0,2
,3,2,3
1,6,,SR H SR H S L2 E4 S L2 SR H SR H S L2 SR H S
,0,-,0
,1,0,1
,2,1,2
,3,-,3
,4,-,4
,5,4,5
,6,5,6
,7,-,7
,8,7,8
1,7,,E DRB SR H SR H S L E V L SR DRB H2 SR H S L E V L E DR SR H SR H S L2 SR H3 SR H S
,0,-,3
,1,0,0
,2,1,1
,3,2,2
,4,0,4
,5,4,5
,6,0,6
,7,6,7
,8,7,8
,9,-,9
,10,9,10
,11,10,11
1,8,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
0,5,,
1,0,,S E S E S E S L2 S E S E S
,0,-,0
,1,-,1
,2,-,2
,3,-,3
,4,-,4
,5,-,5
,6,-,6
1,1,,SRB H SRB H SRB H SRB H SB L V E V E V E V E V L SRB H SRB H SRB H SRB H SB L V E V E V E V E V L SRB H SRB H SRB H SRB H SB L V E V E V E V E V L SRB H SRB H SRB H SRB H SB L V E V E V E V E V L SR H SR H SR H SR H S L V E V E V E V E V L
,0,-,0
,1,-,1
,2,-,2
,3,-,3
,4,-,4
,5,-,5
,6,-,6
,7,-,7
,8,-,8
,9,-,9
,10,-,10
,11,-,11
,12,-,12
,13,-,13
,14,-,14
,15,-,15
,16,-,16
,17,-,17
,18,-,18
,19,-,19
,20,-,20
,21,-,21
,22,-,22
,23,-,23
,24,-,24
1,2,,SB E SB E SB E SB E S L V E V E V E V L S E S E S E S L2 S E S E S
,0,-,0
,1,-,5
,2,-,1
,3,-,6
,4,-,2
,5,-,7
,6,-,3
,11,-,8
,7,-,4
,8,-,9
,9,-,10
,10,-,11
