名稱,屬性分類,屬性名稱,屬性值1,屬性值2
,,,,
,,,,
,,,,
1,3,掉落(活動),,
嫩煎羅諾戈蝦,stats,max_mp,300,
,,cspd,250,
,duration,time,30:00,
,obtain,type,box,
,,name,新娘寶箱,
,,event,婚禮活動,
波多姆豆,stats,max_mp,500,
,,attack_mp_recovery,5,
,duration,time,30:00,
,obtain,type,boss,
,,name,DL,
,,event,DL下載活動,
靈魂布丁,stats,max_hp,1500,
,,max_mp,300,
,duration,time,30:00,
,obtain,type,mobs,
,,name,,
,,event,萬聖節活動,
茄加成,stats,max_mp,100,
,,drop_rate,10%,
,duration,time,30:00,
,obtain,type,boss,
,,name,茄龍歐瓦比昂,
,,map,萊卡平原(秋季活動限定),
,,,,
,,,,
,,,,
0,4,MP回復類,,
1,0,合成類(通常),,
,,,,
1,1,合成類(活動),,
心型餅乾,heal,mp,15,
,duration,time,30:00,
,,cycle,10,
,obtain,type,symthesist,
,recipe,cost,50,
,,materials,藍色包裝緞帶#10,
,,item_level,0,
,,item_difficulty,1,
心型餅乾(交易後),heal,mp,150,
,duration,time,30:00,
,,cycle,10,
,obtain,type,trade,
,,event,白色情人節,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1,2,掉落(通常),,
藍色果凍,heal,mp,10,
,duration,time,00:30,
,,cycle,3,
,obtain,type,mobs,
,,name,藍色果凍,
,,map,"索菲亞地下水道,狄帕西水道",
紅紫色果凍,heal,mp,30,
,duration,time,01:00,
,,cycle,6,
,obtain,type,mobs,
,,name,紫色果凍,
,,map,阿爾堤玫亞下水道．東南,
蒲公英咖啡,heal,mp,20,
,duration,time,30：00,
,,cycle,8,
,obtain,type,mobs,
,,name,尼加納,
,,map,席卡斯平原,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1,3,掉落(活動),,
雪紅酒,heal,mp,100,
,duration,time,15:00,
,,cycle,10,
,obtain,type,box,
,,name,聖誕襪,
,,event,聖誕活動,
,obtain,type,quest,
,,name,冰城,
,,event,聖誕活動,
香檳,heal,mp,100,
,duration,time,30:00,
,,cycle,10,
,extra,caption,不可收入倉庫,
,obtain,type,box,
,,name,聖誕襪,
,,event,聖誕活動,
,obtain,type,quest,
,,name,冰城,
,,event,聖誕活動,
冰凍葡萄酒,heal,mp,150,
,duration,time,5:00,
,,cycle,15,
,obtain,type,box,
,,name,冰雪桶,
,,event,雪球活動,
化學質果凍,heal,mp,30,
,duration,time,1:00,
,,cycle,3,
,obtain,type,mobs,
,,name,化學果凍,
,,map,七周年會場ex,
,,event,周年慶活動,
波姆屋的甜酒,heal,mp,25,
,duration,time,30:00,
,,cycle,10,
,obtain,type,box,
,,name,正月BOX,
,,map,壓歲錢戰鬥,
,,,,
,,,,
,,,,
0,5,ATK類,,
1,0,合成類(通常),,
大力菇菇,stats,atk,10,
,,atk,1%,
,duration,time,30:00,
,obtain,type,synthesist,
,recipe,cost,90,
,,materials,"好毒的菇#1,藥品#50",
,,item_level,15,
,,item_difficulty,18,
禁藥精華,stats,atk,20,
,,atk,2%,
,duration,time,30:00,
,obtain,type,synthesist,
,recipe,cost,210,
,,materials,"毒液精華#1,藥品#100",
,,item_level,39,
,,item_difficulty,42,
大力神油,stats,atk,30,
,,atk,3%,
,duration,time,30:00,
,obtain,type,synthesist,
,recipe,cost,360,
,,materials,"青蛙油脂#1,油膩的液體#1,藥品#150",
,,item_level,69,
,,item_difficulty,72,
猛攻礦油,stats,unsheathe_attack_multiplier,5,
,,unsheathe_attack,100,
,duration,time,30:00,
,obtain,type,synthesist,
,recipe,cost,420,
,,materials,"斷裂鐮刀#1,清水#1,藥品#175",
,,item_level,81,
,,item_difficulty,84,
怪力糖,stats,atk,40,
,,atk,4%,
,duration,time,30:00,
,obtain,type,synthesist,
,recipe,cost,495,
,,materials,"焦黑的龍皮#1,發熱劍鰭#1,藥品#200",
,,item_level,96,
,,item_difficulty,99,
澎湃藥丸,stats,atk,50,
,,atk,5%,
,duration,time,30:00,
,obtain,type,synthesist,
,recipe,cost,690,
,,materials,"鮫狼的心臟#1,發光石#2,藥品#275",
,,item_level,135,
,,item_difficulty,138,
穿甲油,stats,atk,3%,
,,physical_pierce,10%,
,duration,time,30:00,
,obtain,type,synthesist,
,recipe,cost,735,
,,materials,"裂掉的光圈#1,詭譎的液體#2,藥品#300,魔素#15",
,,item_level,144,
,,item_difficulty,147,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1,1,合成類(活動),,
松茸湯,stats,weapon_atk,10%,
,,attack_mp_recovery,10,
,duration,time,15:00,
,obtain,type,synthesist,
,recipe,cost,650,
,,materials,秋色景物#10,
,,item_level,0,
,,item_difficulty,1,
,obtain,type,mobs,
,,name,柿子怪,
,,map,平原地圖,
,,,,
,,,,
1,2,掉落(通常),,
,,,,
1,3,掉落(活動),,
浸炸茄子,stats,weapon_atk,10%,
,,attack_mp_recovery,10,
,duration,time,30:00,
,obtain,type,boss,
,,name,茄龍歐瓦比昂,
,,map,萊卡平原(秋季活動限定),
南瓜百匯,stats,atk,6%,
,duration,time,15:00,
,obtain,type,mobs,
,,name,卡拉巴利,
,,map,利蘇斯山谷(萬聖節第八章),
波姆屋的烤糰子,stats,weapon_atk,5%,
,,physical_pierce,5%,
,duration,time,30:00,
,obtain,type,box,
,,name,正月BOX,
,,map,壓歲錢戰鬥,
晨星軟糖,stats,physical_pierce,5%,
,,critical_rate,40%,
,duration,time,10：00,
,obtain,type,mobs,
,,name,？(萬聖節第九章),
,,map,？(萬聖節第九章),
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
0,6,MATK類,,
1,0,合成類(通常),,
醒腦口香糖,stats,matk,10,
,,matk,1%,
,duration,time,30:00,
,obtain,type,synthesist,
,recipe,cost,105,
,,materials,"紫色果凍#1,藥品#50",
,,item_level,18,
,,item_difficulty,21,
魔力香木,stats,matk,20,
,,matk,2%,
,duration,time,30:00,
,obtain,type,synthesist,
,recipe,cost,195,
,,materials,"芳香木材#1,藥品#100",
,,item_level,36,
,,item_difficulty,39,
魔導增幅,stats,matk,30,
,,matk,3%,
,duration,time,30:00,
,obtain,type,synthesist,
,recipe,cost,345,
,,materials,"寶石心臟#1,流沙結晶#1,藥品#150",
,,item_level,66,
,,item_difficulty,69,
怪物壺,stats,matk,40,
,,matk,4%,
,duration,time,30:00,
,obtain,type,synthesist,
,recipe,cost,480,
,,materials,"魔獸牙#1,蠕動的皮膚#1,藥品#200",
,,item_level,93,
,,item_difficulty,96,
魔導師的秘藥,stats,matk,50,
,,matk,5%,
,duration,time,30:00,
,obtain,type,synthesist,
,recipe,cost,675,
,,materials,"好吃的香菇#1,療癒薄荷#2,藥品#275",
,,item_level,132,
,,item_difficulty,135,
障壁解析石板,stats,matk,3%,
,,magic_pierce,10%,
,duration,time,30:00,
,obtain,type,synthesist,
,recipe,cost,750,
,,materials,"翠綠動力結晶#1,神代文字的石板#2,藥品#300,魔素#15",
,,item_level,147,
,,item_difficulty,150,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1,1,合成類(活動),,
,,,,
1,2,掉落(通常),,
苦澀的明膠,stats,matk,-4%,
,,cspd,800,
,duration,time,5:00,
,obtain,type,mobs,
,,name,果凍,
,,map,希克爾深谷,
樹葉軟糖,stats,matk,6%,
,duration,time,15:00,
,obtain,type,mobs,
,,name,萬聖樹精,
,,map,利蘇斯山谷(萬聖節第八章),
波姆屋的年糕湯,stats,weapon_atk,5%,
,,magic_pierce,5%,
,duration,time,30:00,
,obtain,type,box,
,,name,正月BOX,
,,map,壓歲錢戰鬥,
木乃伊捲,stats,magic_pierce,5%,
,,critical_rate,40%,
,duration,time,10：00,
,obtain,type,mobs,
,,name,？(萬聖節第九章),
,,map,？(萬聖節第九章),
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1,3,掉落(活動),,
,,,,
0,7,屬性強化類,,
,,,,
1,0,合成類(通常),,
,,,,
1,1,合成類(活動),,
,,,,
1,2,掉落(通常),,
,,,,
1,3,掉落(活動),,
變異魟魚湯,stats,stronger_against_fire,2%,
,,stronger_against_water,2%,
,,stronger_against_earth,2%,
,,stronger_against_wind,2%,
,,stronger_against_light,2%,
,,stronger_against_dark,2%,
,duration,time,30:00,
,obtain,type,box,
,,name,新郎寶箱,
,,event,婚禮活動,
南瓜餅乾,stats,stronger_against_fire,5,
,,aspd,100,
,,cspd,100,
,duration,time,10:00,
,obtain,type,"boss,mob",
,,name,火屬性怪物,
,,event,萬聖節活動,
薑餅蛋糕,stats,stronger_against_water,5,
,,aspd,100,
,,cspd,100,
,duration,time,10:00,
,obtain,type,"boss,mob",
,,name,水屬性怪物,
,,event,萬聖節活動,
傑克布丁,stats,stronger_against_wind,5,
,,aspd,100,
,,cspd,100,
,duration,time,10:00,
,obtain,type,"boss,mob",
,,name,風屬性怪物,
,,event,萬聖節活動,
愛爾蘭水果蛋糕,stats,stronger_against_earth,5,
,,aspd,100,
,,cspd,100,
,duration,time,10:00,
,obtain,type,"boss,mob",
,,name,地屬性怪物,
,,event,萬聖節活動,
南瓜糖果,stats,stronger_against_light,5,
,,aspd,100,
,,cspd,100,
,duration,time,10:00,
,obtain,type,"boss,mob",
,,name,光屬性怪物,
,,event,萬聖節活動,
殭屍蛋糕,stats,stronger_against_dark,5,
,,aspd,100,
,,cspd,100,
,duration,time,10:00,
,obtain,type,"boss,mob",
,,name,暗屬性怪物,
,,event,萬聖節活動,
南瓜湯,stats,stronger_against_neutral,5,
,,aspd,100,
,,cspd,100,
,duration,time,10:00,
,obtain,type,"boss,mob",
,,name,無屬性怪物,
,,event,萬聖節活動,
,,,,
,,,,
,,,,
0,8,ASPD類,,
1,0,合成類(通常),,
神速飲料,stats,aspd,250,
,duration,time,30:00,
,obtain,type,synthesist,
,recipe,cost,75,
,,materials,"魔素#5,藥品#100",
,,item_level,12,
,,item_difficulty,15,
超神速飲料,stats,aspd,500,
,duration,time,30:00,
,obtain,type,synthesist,
,recipe,cost,135,
,,materials,"魔素#10,藥品#200",
,,item_level,24,
,,item_difficulty,27,
無敵神速飲料,stats,aspd,750,
,duration,time,30:00,
,obtain,type,synthesist,
,recipe,cost,255,
,,materials,"魔素#20,藥品#400",
,,item_level,48,
,,item_difficulty,51,
神速魔壺,stats,aspd,1000,
,duration,time,30:00,
,obtain,type,synthesist,
,recipe,cost,525,
,,materials,"魔素#30,藥品#800,秘銀礦石#1,奇怪的香菇#2",
,,item_level,102,
,,item_difficulty,105,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1,1,合成類(活動),,
,,,,
1,2,掉落(通常),,
,,,,
1,3,掉落(活動),,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
0,9,CSPD類,,
1,0,合成類(通常),,
星塵魔法藥,stats,cspd,100,
,duration,time,30:00,
,obtain,type,synthesist,
,recipe,cost,165,
,,materials,"魔素#5,藥品#100",
,,item_level,30,
,,item_difficulty,33,
流星魔法藥,stats,cspd,300,
,duration,time,30:00,
,obtain,type,synthesist,
,recipe,cost,240,
,,materials,"魔素#10,藥品#200",
,,item_level,45,
,,item_difficulty,48,
星語魔法藥,stats,cspd,500,
,duration,time,30:00,
,obtain,type,synthesist,
,recipe,cost,375,
,,materials,"魔素#20,藥品#400,亂掉的時針#1,魔力樹枝#1",
,,item_level,72,
,,item_difficulty,75,
詠咒耳機,stats,cspd,700,
,duration,time,30:00,
,obtain,type,synthesist,
,recipe,cost,600,
,,materials,"藥品#250,損壞的耳機#1,損壞的注射器#2",
,,item_level,117,
,,item_difficulty,120,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1,1,合成類(活動),,
葡萄果凍,stats,max_mp,300,
,,cspd,300,
,duration,time,15:00,
,obtain,type,synthesist,
,recipe,cost,600,
,,materials,秋色景物#10,
,,item_level,1,
,,item_difficulty,1,
,,,,
1,2,掉落(通常),,
,,,,
1,3,掉落(活動),,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
0,10,命中類,,
1,0,合成類(通常),,
神準飲料,stats,accuracy,10,
,duration,time,30:00,
,obtain,type,synthesist,
,recipe,cost,30,
,,materials,"波姆樹葉#1,藥品#25",
,,item_level,3,
,,item_difficulty,6,
妖精的眼淚,stats,accuracy,20,
,duration,time,30:00,
,obtain,type,synthesist,
,recipe,cost,120,
,,materials,"妖精翅膀#1,藥品#75",
,,item_level,21,
,,item_difficulty,24,
名弓箭手的假鬍子,stats,accuracy,30,
,duration,time,30:00,
,obtain,type,synthesist,
,recipe,cost,225,
,,materials,"木雕鬍子#1,藥品#125",
,,item_level,42,
,,item_difficulty,45,
捕捉手套,stats,accuracy,40,
,duration,time,30:00,
,obtain,type,synthesist,
,recipe,cost,330,
,,materials,"藥品#150,異界手腕#1,星沙#1",
,,item_level,63,
,,item_difficulty,66,
沾黏丸子,stats,accuracy,50,
,duration,time,30:00,
,obtain,type,synthesist,
,recipe,cost,510,
,,materials,"藥品#200,大吸盤#1,尼丸子#1",
,,item_level,99,
,,item_difficulty,102,
戰靈之環,stats,accuracy,60,
,duration,time,30:00,
,obtain,type,synthesist,
,recipe,cost,600,
,,materials,"藥品#250,破舊的鬼魂布衣#1,溶解的手環#2",
,,item_level,117,
,,item_difficulty,120,
,,,,
,,,,
1,1,合成類(活動),,
,,,,
1,2,掉落(通常),,
,,,,
1,3,掉落(活動),,
奶油煎蝸牛,stats,critical_rate,5,
,,accuracy,30,
,duration,time,30:00,
,obtain,type,box,
,,name,,
,,event,梅雨活動,
葉櫻茶,stats,critical_rate,6,
,,accuracy,12%,
,duration,time,20:00,
,obtain,type,mobs,
,,name,法法菈,
,,map,葉櫻村、黑桃山、白桃山,
,,event,春令活動(第十章),
,,,,
,,,,
,,,,
0,11,迴避類,,
1,0,合成類(通常),,
,,,,
1,1,合成類(活動),,
,,,,
1,2,掉落(通常),,
,,,,
1,3,掉落(活動),,
黃金波姆酒,stats,accuracy,50,
,,dodge,50,
,duration,time,10:00,
,obtain,type,boss,
,,name,DL下載紀念活動,
,,map,索菲亞政廳,
,,,,
,,,,
,,,,
,,,,
0,12,物理抗性類,,
1,0,合成類(通常),,
,,,,
1,1,合成類(活動),,
銀杏炊飯,stats,physical_resistance,25%,
,,magic_resistance,25%,
,duration,time,15:00,
,obtain,type,synthesist,
,recipe,cost,650,
,,materials,秋色景物#10,
,,item_level,0,
,,item_difficulty,1,
,obtain,type,mobs,
,,name,柿子怪,
,,map,平原地圖,
,,,,
1,2,掉落(通常),,
,,,,
1,3,掉落(活動),,
麻婆茄子,stats,physical_resistance,25%,
,,magic_resistance,25%,
,duration,time,30:00,
,obtain,type,boss,
,,name,茄龍歐瓦比昂,
,,map,萊卡平原(秋季活動限定),
,,,,
,,,,
0,13,魔法抗性類,,
1,0,合成類(通常),,
,,,,
1,1,合成類(活動),,
,,,,
1,2,掉落(通常),,
,,,,
1,3,掉落(活動),,
海蝶軟糖,stats,max_hp,1000,
,duration,time,30:00,
,obtain,type,mobs,
,,name,海蝶格瑞斯,
,,map,海盜據點（2025夏日活動）,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
0,14,屬性抗性類,,
1,0,合成類(通常),,
火護符,stats,fire_resistance,10%,
,,def,5%,
,,mdef,5%,
,duration,time,30:00,
,obtain,type,synthesist,
,recipe,cost,390,
,,materials,"大張符紙#1,灼熱結晶#1,藥品#175",
,,item_level,75,
,,item_difficulty,78,
水護符,stats,water_resistance,10%,
,,def,5%,
,,mdef,5%,
,duration,time,30:00,
,obtain,type,synthesist,
,recipe,cost,390,
,,materials,"大張符紙#1,流水結晶#1,藥品#175",
,,item_level,75,
,,item_difficulty,78,
風護符,stats,wind_resistance,10%,
,,def,5%,
,,mdef,5%,
,duration,time,30:00,
,obtain,type,synthesist,
,recipe,cost,390,
,,materials,"大張符紙#1,微風結晶#1,藥品#175",
,,item_level,75,
,,item_difficulty,78,
地護符,stats,earth_resistance,10%,
,,def,5%,
,,mdef,5%,
,duration,time,30:00,
,obtain,type,synthesist,
,recipe,cost,390,
,,materials,"大張符紙#1,流沙結晶#1,藥品#175",
,,item_level,75,
,,item_difficulty,78,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1,1,合成類(活動),,
,,,,
1,2,掉落(通常),,
,,,,
1,3,掉落(活動),,
深色松露,stats,water_resistance,4%,
,,fire_resistance,4%,
,,wind_resistance,4%,
,,earth_resistance,4%,
,,light_resistance,4%,
,,dark_resistance,4%,
,duration,time,30:00,
,obtain,type,box,
,,name,新娘寶箱,
,,event,婚禮活動,
冰淇淋蛋糕,stats,water_resistance,50%,
,,max_mp,100,
,duration,time,30:00,
,extra,caption,不可收入倉庫,
,obtain,type,box,
,,name,聖誕襪,
,,event,聖誕活動,
,obtain,type,quest,
,,name,冰城,
,,event,聖誕活動,
起司蛋糕,stats,wind_resistance,50%,
,,max_mp,100,
,duration,time,30:00,
,extra,caption,不可收入倉庫,
,obtain,type,box,
,,name,聖誕襪,
,,event,聖誕活動,
,obtain,type,quest,
,,name,冰城,
,,event,聖誕活動,
巧克力蛋糕,stats,fire_resistance,50%,
,,max_mp,100,
,duration,time,30:00,
,extra,caption,不可收入倉庫,
,obtain,type,box,
,,name,聖誕襪,
,,event,聖誕活動,
,obtain,type,quest,
,,name,冰城,
,,event,聖誕活動,
水果蛋糕,stats,earth_resistance,50%,
,,max_mp,100,
,duration,time,30:00,
,extra,caption,不可收入倉庫,
,obtain,type,box,
,,name,聖誕襪,
,,event,聖誕活動,
,obtain,type,quest,
,,name,冰城,
,,event,聖誕活動,
冰可可,stats,light_resistance,25%,
,,max_mp,100,
,duration,time,15:00,
,obtain,type,box,
,,name,冰雪桶,
,,event,雪球大戰,
冰咖啡,stats,dark_resistance,25%,
,,max_mp,100,
,duration,time,15:00,
,obtain,type,box,
,,name,冰雪桶,
,,event,雪球大戰,
阿健章魚燒(醬汁),stats,fire_resistance,30%,
,,critical_rate,15,
,duration,time,20:00,
,obtain,type,box,
,,name,阿健章魚燒,
,obtain,type,boss,
,,name,章魚阿健,
,,map,沙爾陶海灘．海灘小屋,
,,event,夏日活動,
阿健章魚燒(高湯),stats,water_resistance,30%,
,,critical_rate,15,
,duration,time,20:00,
,obtain,type,box,
,,name,阿健章魚燒,
,obtain,type,boss,
,,name,章魚阿健,
,,map,沙爾陶海灘．海灘小屋,
阿健章魚燒(蔥花),stats,wind_resistance,30%,
,,critical_rate,15,
,duration,time,20:00,
,obtain,type,box,
,,name,阿健章魚燒,
,obtain,type,boss,
,,name,章魚阿健,
,,map,沙爾陶海灘．海灘小屋,
阿健章魚燒(醬油),stats,earth_resistance,30%,
,,critical_rate,15,
,duration,time,20:00,
,obtain,type,box,
,,name,阿健章魚燒,
,obtain,type,boss,
,,name,章魚阿健,
,,map,沙爾陶海灘．海灘小屋,
阿健章魚燒(鹽),stats,light_resistance,30%,
,,critical_rate,15,
,duration,time,20:00,
,obtain,type,box,
,,name,阿健章魚燒,
,obtain,type,boss,
,,name,章魚阿健,
,,map,沙爾陶海灘．海灘小屋,
阿健章魚燒(柚子醋),stats,dark_resistance,30%,
,,critical_rate,15,
,duration,time,20:00,
,obtain,type,box,
,,name,阿健章魚燒,
,obtain,type,boss,
,,name,章魚阿健,
,,map,沙爾陶海灘．海灘小屋,
阿健章魚燒(禮包),obtain,type,symthesist,
,recipe,cost,500,
,,materials,"章魚阿建的腳#8,蛋#2,深層海水#1,燃燒的樹根#1",
,,set,8,
,,item_level,1,
,,item_difficulty,150,
炙烤茄子,stats,neutral_resistance,20%,
,,critical_rate,10,
,duration,time,15:00,
,obtain,type,boss,
,,name,茄龍歐瓦比昂,
,,map,萊卡平原(秋季活動限定),
吉羅康,stats,wind_resistance,15%,
,,dark_resistance,15%,
,,max_hp,3000,
,duration,time,10:00,
,obtain,type,mobs,
,,name,巨斧稻草人,
,,map,瑪德蓮平原,
美樂蜂蛋糕,stats,fire_resistance,15%,
,,light_resistance,15%,
,,max_hp,3000,
,duration,time,10:00,
,obtain,type,mobs,
,,name,芙蘿拉蜜蜂,
,,map,瑪德蓮平原,
吉羅康,stats,water_resistance,15%,
,,wind_resistance,15%,
,,max_hp,3000,
,duration,time,10:00,
,obtain,type,mobs,
,,name,楓糖狐狸,
,,map,瑪德蓮平原,
,,,,
,,,,
,,,,
,,,,
,,,,
0,15,疫苗類,,
,,,,
1,0,合成類(通常),,
,,,,
1,1,合成類(活動),,
,,,,
1,2,掉落(通常),,
,,,,
1,3,掉落(活動),,
沙拉茄子醬,stats,ailment_resistance,5%,
,duration,time,30:00,
,obtain,type,boss,
,,name,茄龍歐瓦比昂,
,,map,萊卡平原(秋季活動限定),
,,,,
0,16,參拜類,,
,,,,
1,0,合成類(通常),,
,,,,
1,1,合成類(活動),,
,,,,
1,2,掉落(通常),,
,,,,
1,3,掉落(活動),,
強身健體！,stats,max_hp,100%,
,duration,time,90:00,
,recipe,cost,5,
,obtain,type,box,
,,name,捐獻箱,
,,map,阿梵九蓮神社,
專心致志！,stats,max_mp,100%,
,duration,time,90:00,
,recipe,cost,5,
,obtain,type,box,
,,name,捐獻箱,
,,map,阿梵九蓮神社,
大紅大紫！,stats,aggro,100%,
,duration,time,90:00,
,recipe,cost,5,
,obtain,type,box,
,,name,捐獻箱,
,,map,阿梵九蓮神社,
財運亨通！,stats,accuracy,100%,
,duration,time,90:00,
,recipe,cost,5,
,obtain,type,box,
,,name,捐獻箱,
,,map,阿梵九蓮神社,
消災解厄！,stats,dodge,100%,
,duration,time,90:00,
,recipe,cost,5,
,obtain,type,box,
,,name,捐獻箱,
,,map,阿梵九蓮神社,
人中龍鳳！,stats,atk,3%,
,,matk,3%,
,duration,time,90:00,
,recipe,cost,5,
,obtain,type,box,
,,name,捐獻箱,
,,map,阿梵九蓮神社,
生活穩定！,stats,stability,10%,
,duration,time,90:00,
,recipe,cost,5,
,obtain,type,box,
,,name,捐獻箱,
,,map,阿梵九蓮神社,
行動敏捷！,stats,aspd,1000,
,duration,time,90:00,
,recipe,cost,5,
,obtain,type,box,
,,name,捐獻箱,
,,map,阿梵九蓮神社,
口齒清晰！,stats,cspd,1000,
